グラフ非表示,年,月,日,日検査数,検査累計,日陽性数,陽性累計,日患者数,患者累計,日軽症中等症数,軽症中等症累計,日重症数,重症累計,日死亡数,死亡累計,日治療終了数,治療終了累計,備考
"",2020,3,7,86,978,8,98,6,61,55,55,6,6,0,3,2,34,軽症中等症、重傷については、3月7日からの発表のため、このデータはこれまでの累計である
"",2020,3,8,55,1033,3,101,-4,57,-5,50,1,7,0,3,7,41,軽症中等症、重傷については、3月7日からの発表のため、ここからは日ごとの数である
"",2020,3,9,36,1069,7,108,5,62,6,56,-1,6,0,3,2,43,""
"",2020,3,10,25,1094,3,111,-3,59,-4,52,1,7,0,3,6,49,""
"",2020,3,11,80,1174,7,118,3,62,3,55,0,7,0,3,4,53,""
"",2020,3,12,76,1250,10,128,9,71,10,65,-1,6,1,4,0,53,""
"",2020,3,13,73,1323,9,137,7,78,7,72,0,6,0,4,2,55,""
"",2020,3,14,87,1410,7,144,4,82,2,74,2,8,0,4,3,58,""
"",2020,3,15,52,1462,4,148,0,82,-1,73,1,9,1,5,3,61,""
"",2020,3,16,28,1490,4,152,-2,80,1,74,-3,6,1,6,5,66,""
"",2020,3,17,25,1515,0,152,-6,74,-6,68,0,6,0,6,6,72,""
"",2020,3,18,72,1587,2,154,1,75,1,69,0,6,0,6,1,73,""
"",2020,3,19,65,1652,3,157,-5,70,-5,64,0,6,0,6,8,81,""
"",2020,3,20,55,1707,1,158,-2,68,-4,60,2,8,0,6,3,84,""
"",2020,3,21,48,1755,1,159,-2,66,-2,58,0,8,0,6,3,87,""
"",2020,3,22,20,1775,3,162,-6,60,-5,53,-1,7,0,6,9,96,""
"",2020,3,23,19,1794,0,162,-1,59,-1,52,0,7,0,6,1,97,""
"",2020,3,24,27,1821,1,163,-2,57,-1,51,-1,6,0,6,3,100,""
"",2020,3,25,67,1888,4,167,-2,55,-3,48,1,7,1,7,5,105,""
"",2020,3,26,41,1929,1,168,-15,40,-15,33,0,7,0,7,16,121,""
"",2020,3,27,47,1976,1,169,-1,39,-1,32,0,7,0,7,2,123,""
"",2020,3,28,38,2014,3,172,2,41,2,34,0,7,0,7,1,124,""
"",2020,3,29,50,2064,4,176,3,44,1,35,2,9,0,7,1,125,""
"",2020,3,30,12,2076,1,177,-5,39,-2,33,-3,6,0,7,6,131,""
"",2020,3,31,20,2096,0,177,-1,38,-1,32,0,6,0,7,1,132,""
"",2020,4,1,68,2164,5,182,4,42,4,36,0,6,0,7,1,133,""
"",2020,4,2,53,2217,3,185,0,42,1,37,-1,5,1,8,2,135,""
"",2020,4,3,79,2296,5,190,1,43,1,38,0,5,0,8,4,139,""
"",2020,4,4,67,2363,3,193,0,43,-1,37,1,6,0,8,3,142,""
"",2020,4,5,66,2429,1,194,1,44,1,38,0,6,0,8,0,142,""
"",2020,4,6,14,2443,0,194,-2,42,-1,37,-1,5,1,9,1,143,""
"",2020,4,7,45,2488,4,198,4,46,4,41,0,5,0,9,0,143,""
"",2020,4,8,84,2572,10,208,7,53,7,48,0,5,0,9,3,146,""
"",2020,4,9,118,2690,18,226,14,67,15,63,-1,4,1,10,3,149,""
