接触場所,カテゴリ,緯度（世界測地系）,経度（世界測地系）,情報源
京都市南区南保育所,学校・保育施設,34.978358,135.747735,"https://www.google.com/maps/place/%E5%8D%97%E4%BF%9D%E8%82%B2%E6%89%80/@34.978129,135.7452779,17z/data=!3m1!4b1!4m5!3m4!1s0x6001060134f29fab:0xf6d8aa8e4bfdfc85!8m2!3d34.9781246!4d135.7474719?hl=ja"
介護老人保健施設グリーンアルス伊丹デイケア,介護施設,34.79077,135.375754,"https://www.google.com/maps/place/%E4%BB%8B%E8%AD%B7%E8%80%81%E4%BA%BA%E4%BF%9D%E9%99%BA%E6%96%BD%E8%A8%AD+%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%A2%E3%83%AB%E3%82%B9%E4%BC%8A%E4%B8%B9/@34.7906376,135.3731902,17z/data=!3m1!4b1!4m5!3m4!1s0x6000f158b4064dd3:0xd40136a2f0f90b1a!8m2!3d34.7906332!4d135.3753842?hl=ja"
聖ニコラス天使園,学校・保育施設,34.717521,135.280803,"https://www.google.com/maps/place/%E8%81%96%E3%83%8B%E3%82%B3%E3%83%A9%E3%82%B9%E5%A4%A9%E4%BD%BF%E5%9C%92/@34.7173274,135.278121,17z/data=!3m1!4b1!4m5!3m4!1s0x60008d187bde49cf:0x87353f25b77786f1!8m2!3d34.717323!4d135.280315?hl=ja"
宝塚第一病院,医療施設,34.80846,135.361462,"https://www.google.com/maps/place/%E5%AE%9D%E5%A1%9A%E7%AC%AC%E4%B8%80%E7%97%85%E9%99%A2/@34.8082574,135.359091,17z/data=!3m1!4b1!4m5!3m4!1s0x6000f4119dd2b39b:0x54ae3f234529808e!8m2!3d34.808253!4d135.361285?hl=ja"
済生会有田病院,医療施設,34.046097,135.193406,"https://www.google.com/maps/place/%E6%B8%88%E7%94%9F%E4%BC%9A%E6%9C%89%E7%94%B0%E7%97%85%E9%99%A2/@34.0459018,135.1909489,17z/data=!3m1!4b1!4m5!3m4!1s0x600745acf0ae01ef:0xfea2bc46557b446f!8m2!3d34.0458974!4d135.1931429?hl=ja"
大分医療センター,医療施設,33.252817,131.721763,"https://www.google.com/maps/place/%E5%9B%BD%E7%AB%8B%E7%97%85%E9%99%A2%E6%A9%9F%E6%A7%8B%E5%A4%A7%E5%88%86%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E7%8B%AC%E7%AB%8B%E8%A1%8C%E6%94%BF%E6%B3%95%E4%BA%BA%EF%BC%89/@33.252548,131.7192413,17z/data=!3m1!4b1!4m5!3m4!1s0x3544279fd6a00b05:0xac7e9cca89339847!8m2!3d33.2525435!4d131.7214353?hl=ja"
公立館林厚生病院,医療施設,36.248579,139.518937,"https://www.google.com/maps/place/%E5%85%AC%E7%AB%8B%E9%A4%A8%E6%9E%97%E5%8E%9A%E7%94%9F%E7%97%85%E9%99%A2/@36.2483974,139.5164476,17z/data=!3m1!4b1!4m5!3m4!1s0x601f25574f437a53:0xe162d045c3fffd21!8m2!3d36.2483931!4d139.5186416?hl=ja"
戸田市,市区町村,35.817794,139.678439,"https://www.google.com/maps/place/%E6%88%B8%E7%94%B0%E5%B8%82%E5%BD%B9%E6%89%80/@35.8153439,139.6240695,13z/data=!4m5!3m4!1s0x6018eb38fb78f3bd:0x1919f0022b351548!8m2!3d35.8175769!4d139.6779888?hl=ja"
イオンスポーツクラブ 3FIT 熱田千年店,スポーツクラブ,35.1186659,136.8996543,"https://www.google.com/maps/place/%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%AF%E3%83%A9%E3%83%963FIT%E7%86%B1%E7%94%B0%E5%8D%83%E5%B9%B4%E5%BA%97/@35.1186659,136.8996543,15z/data=!4m2!3m1!1s0x0:0xb1fa1cc94c95dfe?sa=X&ved=2ahUKEwikyMPm477oAhUuGqYKHd4aAMsQ_BIwCnoECBgQCA"
大分県立病院,医療施設,33.206978,131.5989,"https://www.google.com/maps/place/%E5%A4%A7%E5%88%86%E7%9C%8C%E7%AB%8B%E7%97%85%E9%99%A2/@33.2069469,131.5966898,17z/data=!3m1!4b1!4m5!3m4!1s0x3546a2072b9560e7:0x2074546670d88446!8m2!3d33.2069424!4d131.5988785"
香取郡東庄町 障害者福祉施設 北総育成園,介護施設,35.828207,140.650455,"https://www.google.com/maps/place/%E5%8C%97%E7%B7%8F%E8%82%B2%E6%88%90%E5%9C%92/@35.8281943,140.6482663,17z/data=!3m1!4b1!4m5!3m4!1s0x6022fd3c83cbfae5:0xb7eb0efb46083fa7!8m2!3d35.82819!4d140.650455"
台東区 永寿総合病院,医療施設,35.709759,139.779684,"https://www.google.com/maps/place/%E6%B0%B8%E5%AF%BF%E7%B7%8F%E5%90%88%E7%97%85%E9%99%A2/@35.7097113,139.7775064,17z/data=!3m1!4b1!4m5!3m4!1s0x60188ea2761ad96d:0xb2bb714646ed5df4!8m2!3d35.709707!4d139.7796951"
ＪＡとりで総合医療センター,医療施設,35.911038,140.068802,"https://www.google.com/maps/place/JA%E3%81%A8%E3%82%8A%E3%81%A7%E7%B7%8F%E5%90%88%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@35.9110423,140.0665593,17z/data=!3m1!4b1!4m5!3m4!1s0x60227704ea0f6161:0xbcc109be10796190!8m2!3d35.911038!4d140.068748"
木崎あおぞら保育園（太田市）,学校・保育施設,36.282147,139.29932,"https://www.google.com/maps/place/%E6%9C%A8%E5%B4%8E%E3%81%82%E3%81%8A%E3%81%9E%E3%82%89%E4%BF%9D%E8%82%B2%E5%9C%92/@36.2821343,139.2971313,17z/data=!3m1!4b1!4m5!3m4!1s0x601ede13569e2edd:0xbc8249da83bd0018!8m2!3d36.28213!4d139.29932"
ましも内科・胃腸科（大泉町）,医療施設,36.258743,139.418484,"https://www.google.com/maps/place/%E3%81%BE%E3%81%97%E3%82%82%E5%86%85%E7%A7%91%E3%83%BB%E8%83%83%E8%85%B8%E7%A7%91/@36.2587503,139.4163013,17z/data=!3m1!4b1!4m5!3m4!1s0x601f26c289a7717b:0x93de0f6e02641927!8m2!3d36.258746!4d139.41849"
川口市,市区町村,35.807738,139.724171,"https://www.google.com/maps/place/%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82/@35.8336985,139.7316973,12z/data=!3m1!4b1!4m5!3m4!1s0x6018948a0c9ceef7:0xb7b232bac1bbd9a0!8m2!3d35.8077356!4d139.7241874?hl=ja"
ときがわ町,市区町村,36.008808,139.297524,"https://www.google.com/maps/place/%E3%81%A8%E3%81%8D%E3%81%8C%E3%82%8F%E7%94%BA%E5%BD%B9%E5%A0%B4/@36.0086561,139.2947989,17z/data=!3m1!4b1!4m5!3m4!1s0x601ed4b3280422ed:0xb2865a2d5260469e!8m2!3d36.0086518!4d139.2969876"
春日部市 ,市区町村,35.975401,139.752268,"https://www.google.com/maps/place/%E6%98%A5%E6%97%A5%E9%83%A8%E5%B8%82%E5%BD%B9%E6%89%80/@35.9753621,139.7500896,17z/data=!3m1!4b1!4m5!3m4!1s0x6018b93561877553:0xff5e9eac9610462e!8m2!3d35.9753578!4d139.7522783"
尾道市,市区町村,34.409323,133.205682,"https://www.google.com/maps/place/%E5%B0%BE%E9%81%93%E5%B8%82%E5%BD%B9%E6%89%80/@34.4093007,133.2035251,17z/data=!3m1!4b1!4m5!3m4!1s0x355101ae0d19be31:0x8df301aa36e46010!8m2!3d34.4092963!4d133.2057138"
仁恵病院,医療施設,34.841407,134.712999,"https://www.google.com/maps/place/%EF%BC%88%E5%8C%BB%EF%BC%89%E5%85%A8%E4%BA%BA%E4%BC%9A+%E4%BB%81%E6%81%B5%E7%97%85%E9%99%A2/@35.1625302,136.062138,8z/data=!4m8!1m2!2m1!1z5LuB5oG155eF6Zmi!3m4!1s0x3555200e479872b7:0x17b677bfa247448c!8m2!3d34.8418211!4d134.7128169"
コパンスポーツクラブ西可児,スポーツクラブ,35.4064,137.01447,"https://www.google.com/maps/place/%E3%82%B3%E3%83%91%E3%83%B3%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%AF%E3%83%A9%E3%83%96%E8%A5%BF%E5%8F%AF%E5%85%90/@35.4064,137.01447,15z/data=!4m5!3m4!1s0x0:0xcadf42643e8d426d!8m2!3d35.4064!4d137.01447"
福岡市中央区,市区町村,33.5893941,130.3930231,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%BD%B9%E6%89%80/@33.5893941,130.3930231,15z/data=!4m5!3m4!1s0x0:0x9b8b619adc53b86f!8m2!3d33.5893941!4d130.3930231"
福岡市博多区,市区町村,33.5913977,130.4149409,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E5%8D%9A%E5%A4%9A%E5%8C%BA%E5%BD%B9%E6%89%80/@33.5913977,130.4149409,15z/data=!4m5!3m4!1s0x0:0x375bd70fbfdc83a0!8m2!3d33.5913977!4d130.4149409"
福岡市西区,市区町村,33.5826183,130.3230344,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E8%A5%BF%E5%8C%BA%E5%BD%B9%E6%89%80/@33.5826183,130.3230344,15z/data=!4m5!3m4!1s0x0:0xe30615fd6090149d!8m2!3d33.5826183!4d130.3230344"
福岡市南区,市区町村,33.5615,130.426351,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E5%8D%97%E5%8C%BA%E5%BD%B9%E6%89%80/@33.5615,130.426351,15z/data=!4m5!3m4!1s0x0:0x1fbfe4dec52f8fcb!8m2!3d33.5615!4d130.426351"
福岡市東区,市区町村,33.6178329,130.4173391,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E6%9D%B1%E5%8C%BA%E5%BD%B9%E6%89%80/@33.6178329,130.4173391,15z/data=!4m5!3m4!1s0x0:0xb3e281973a9a581d!8m2!3d33.6178329!4d130.4173391"
福岡市城南区,市区町村,33.5756336,130.3698943,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E5%9F%8E%E5%8D%97%E5%8C%BA%E5%BD%B9%E6%89%80/@33.5756336,130.3698943,15z/data=!4m5!3m4!1s0x0:0x3172ad7dd0e610ee!8m2!3d33.5756336!4d130.3698943"
福岡市早良区,市区町村,33.581944,130.348408,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E5%B8%82+%E6%97%A9%E8%89%AF%E5%8C%BA%E5%BD%B9%E6%89%80/@33.581944,130.348408,15z/data=!4m5!3m4!1s0x0:0xc9d616c4528b91b7!8m2!3d33.581944!4d130.348408"
福岡記念病院,医療施設,33.5849743,130.3628109,"https://www.google.com/maps/place/%E7%A6%8F%E5%B2%A1%E8%A8%98%E5%BF%B5%E7%97%85%E9%99%A2/@33.5849743,130.3628109,15z/data=!4m5!3m4!1s0x0:0x7a7941b4fbd50cf4!8m2!3d33.5849743!4d130.3628109"
北九州市,市区町村,33.883324,130.875176,"https://www.google.com/maps/place/%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%BD%B9%E6%89%80/@33.88332,130.8729862,17z/data=!3m1!4b1!4m5!3m4!1s0x3543b8ada7ba0895:0xce71899636b79f06!8m2!3d33.88332!4d130.8751749"
宗像市,市区町村,33.805552,130.54068,"https://www.google.com/maps/place/%E5%AE%97%E5%83%8F%E5%B8%82%E5%BD%B9%E6%89%80/@33.8055516,130.5384945,17z/data=!3m1!4b1!4m5!3m4!1s0x35422e97b2c92827:0x8ef8c1365f45119e!8m2!3d33.8055516!4d130.5406832"
豊前市,市区町村,33.611513,131.1300496,"https://www.google.com/maps/place/%E8%B1%8A%E5%89%8D%E5%B8%82%E5%BD%B9%E6%89%80/@33.611513,131.1300496,15z/data=!4m5!3m4!1s0x0:0xbe3d926c6310079e!8m2!3d33.611513!4d131.1300496"
新小文字病院,医療施設,33.8971104,130.9258037,"https://www.google.com/maps/place/%E6%B1%A0%E5%8F%8B%E4%BC%9A+%E6%96%B0%E5%B0%8F%E6%96%87%E5%AD%97%E7%97%85%E9%99%A2/@33.8971104,130.9258037,15z/data=!4m5!3m4!1s0x0:0x28034328efdf700c!8m2!3d33.8971104!4d130.9258037"
熊本市西区,市区町村,32.776335,130.647519,"https://www.google.com/maps/place/%E7%86%8A%E6%9C%AC%E5%B8%82+%E8%A5%BF%E5%8C%BA%E5%BD%B9%E6%89%80/@32.776335,130.647519,15z/data=!4m5!3m4!1s0x0:0x9bc2f58465943c30!8m2!3d32.776335!4d130.647519"
松山市,市区町村,33.8391894,132.7634582,"https://www.google.com/maps/place/%E6%9D%BE%E5%B1%B1%E5%B8%82%E5%BD%B9%E6%89%80/@33.8391894,132.7634582,17z/data=!3m1!4b1!4m5!3m4!1s0x354fe58d454d2101:0x9ce1b8861854f801!8m2!3d33.8391894!4d132.7656469"
糸島市,市区町村,33.5573659,130.1948192,"https://www.google.com/maps/place/%E7%B3%B8%E5%B3%B6%E5%B8%82%E5%BD%B9%E6%89%80/@33.5353097,130.1501225,14z/data=!4m8!1m2!2m1!1z57O45bO25biC5biC5b255omA!3m4!1s0x3541e9cf9c384d99:0xd93829bc92694c29!8m2!3d33.5572885!4d130.1955564"
老人保健施設楽陽園,介護施設,33.5566857,130.4823008,"https://www.google.com/maps/place/%E8%80%81%E4%BA%BA%E4%BF%9D%E5%81%A5%E6%96%BD%E8%A8%AD%E6%A5%BD%E9%99%BD%E5%9C%92/@33.5566857,130.4823008,15z/data=!4m5!3m4!1s0x0:0x4c5a4a7a31a4ba33!8m2!3d33.5566857!4d130.4823008"
あいくらす香椎参道,介護施設,33.654804,130.444691,"https://www.google.com/maps/place/%E3%81%82%E3%81%84%E3%81%8F%E3%82%89%E3%81%99%E3%83%BB%E9%A6%99%E6%A4%8E%E5%8F%82%E9%81%93/@33.654804,130.444691,15z/data=!4m5!3m4!1s0x0:0x4b1dd75e4fceb009!8m2!3d33.654804!4d130.444691"
介護老人保険施設アレーテル・つくば,介護施設,36.180989,140.098007,"https://www.google.com/maps/place/%E3%82%A2%E3%83%AC%E3%83%BC%E3%83%86%E3%83%AB%E3%83%BB%E3%81%A4%E3%81%8F%E3%81%B0/@36.1801402,140.0975996,15z/data=!4m5!3m4!1s0x0:0x2a57947d4f5d0f3!8m2!3d36.1801402!4d140.0975996"
焼肉きんぐ　二口店,接待飲食関連店,36.6711232,137.2045471,"https://www.google.com/maps/place/%E7%84%BC%E8%82%89%E3%81%8D%E3%82%93%E3%81%90+%E4%BA%8C%E5%8F%A3%E5%BA%97/@36.6711232,137.2045471,17z/data=!3m1!4b1!4m5!3m4!1s0x5ff790368b3eeb25:0xcfd7709a0fd1925e!8m2!3d36.6711189!4d137.2067411"
さっぽろ雪まつり,その他,43.059815,141.348953,"https://www.google.com/maps/place/%E5%A4%A7%E9%80%9A%E5%85%AC%E5%9C%92/@43.059815,141.346759,17z/data=!4m5!3m4!1s0x5f0b2bb0bcafffff:0xe3f40c860efe8454!8m2!3d43.0598751!4d141.3477601"
京都産業大学,学校・保育施設,35.0713046,135.7546767,"https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E7%94%A3%E6%A5%AD%E5%A4%A7%E5%AD%A6/@35.0713046,135.7546767,17z/data=!3m1!4b1!4m5!3m4!1s0x6001a7ddbb804e83:0xc53a1e9e9e89a0cd!8m2!3d35.0713002!4d135.7568654"
高知県警察 宿毛警察署,その他,32.9354442,132.7207071,"https://www.google.com/maps/place/%E9%AB%98%E7%9F%A5%E7%9C%8C+%E5%AE%BF%E6%AF%9B%E8%AD%A6%E5%AF%9F%E7%BD%B2/@32.9354442,132.7207071,17z/data=!3m1!4b1!4m5!3m4!1s0x354f4fcbe49ac74d:0x3e22ed89762b67bd!8m2!3d32.9354397!4d132.7228958"
高知市,市区町村,,,"https://www.google.com/maps/place/%E9%AB%98%E7%9F%A5%E7%9C%8C%E9%AB%98%E7%9F%A5%E5%B8%82/@33.5698996,133.3698394,11z/data=!3m1!4b1!4m5!3m4!1s0x354e1f3322084dd7:0x2f175a433fde642a!8m2!3d33.5588821!4d133.5312383"
