date,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,山梨県,長野県,富山県,石川県,福井県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2020-04-19,2,0,0,0,0,1,0,2,2,0,2,4,15,6,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1
2020-04-20,1,0,0,0,0,0,0,2,2,0,2,4,11,6,0,0,0,0,1,0,1,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
2020-04-21,1,0,0,0,0,0,0,2,1,0,2,4,13,7,0,0,0,0,1,0,1,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
2020-04-22,1,0,0,0,0,0,0,2,1,0,2,4,14,7,0,0,0,1,1,0,1,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2
2020-04-23,2,0,0,0,0,0,0,2,1,0,2,5,16,7,0,0,0,1,1,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2
2020-04-24,2,0,0,0,0,0,0,3,2,0,3,5,15,6,0,0,0,2,1,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
2020-04-25,1,0,0,0,0,0,0,3,2,0,3,5,15,7,0,0,0,2,1,0,1,0,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
2020-04-26,1,0,0,0,0,0,0,3,2,0,3,3,18,7,0,0,0,2,1,0,1,0,1,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
2020-04-27,3,0,0,0,0,0,1,3,2,0,3,4,19,8,0,0,0,2,1,0,1,0,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
2020-04-28,3,0,0,0,0,0,1,2,2,0,3,4,15,8,0,0,0,2,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
2020-04-29,3,0,0,0,0,0,1,2,2,0,5,4,14,6,0,0,0,2,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
2020-04-30,3,0,0,0,0,0,1,2,2,0,5,4,12,6,0,0,0,2,1,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
2020-05-01,2,0,0,0,0,0,1,2,2,0,4,4,11,6,0,0,0,2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
2020-05-02,2,0,0,0,0,0,1,1,2,0,4,4,11,5,0,0,0,2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
2020-05-03,2,0,0,0,0,0,1,1,2,0,4,4,11,6,0,0,0,2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
2020-05-04,2,0,0,0,0,0,1,1,2,0,4,4,10,5,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-05,2,0,0,0,0,0,1,1,2,0,4,3,9,6,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-06,2,0,0,0,0,0,1,1,2,0,4,3,9,6,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-07,1,0,0,0,0,0,1,1,2,0,4,3,9,4,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-08,1,0,0,0,0,0,1,1,2,0,3,3,7,4,0,0,0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-09,2,0,0,0,0,0,1,1,2,0,3,3,7,3,0,0,0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-10,2,0,0,0,0,0,1,1,1,0,3,2,7,3,0,0,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-11,2,0,0,0,0,0,0,1,0,0,3,3,7,3,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2020-05-12,2,0,0,0,0,0,0,1,0,0,3,3,6,3,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-05-13,2,0,0,0,0,0,0,1,0,0,3,3,6,3,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-05-14,2,0,0,0,0,0,0,1,0,0,3,3,5,3,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020-05-15,2,0,0,0,0,0,0,1,0,0,2,2,5,3,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
