ja,en,cn
中富良野町,Nakafurano Town,中富良野町
千歳市,Chitose,千岁市
胆振管内,In the gallbladder,在胆振管辖区
渡島管内,Oshima jurisdiction,渡岛管辖区
旭川市,Asahikawa,旭川市
函館市,Hakodate,函馆市
根室市,Nemuro City,根室市
江別市,Ebetsu,江别市
オホーツク管内,Okhotsk jurisdiction,鄂霍次克州管辖区
美瑛町,Biei Town,美瑛町
釧路管内,Inside Kushiro,钏路管辖区
釧路市,Kushiro,钏路市
石狩管内,Ishikari jurisdiction,石狩管辖区
上川管内,Kamikawa jurisdiction,上川管辖区
新ひだか町,Shinhidaka Town,新日高町
厚岸町,Akkeshi Town,厚岸町
滝川市,Takigawa,泷川市
十勝管内,Tokachi jurisdiction,十胜地区
せたな町,Setana Town,濑棚町
八雲町,Yakumo Town,八云町
木古内町,Kikonai Town,木古内市
深川市,Fukagawa,深川市
北見市,Kitami,北见市
苫小牧市,Tomakomai,苫小牧市
北広島市,Kitahiroshima City,北广岛市
岩見沢市,Iwamizawa,岩见泽市
空知管内,Sorachi jurisdiction,空知管辖区
小樽市,Otaru,小樽市
倶知安町,Kutchan,俱知安町
室蘭市,Muroran,室兰市
美唄市,Bibai City,美呗市
後志管内,Shiribeuchi,后志管辖区
留萌市,Rumoi City,留萌市
遠軽町,Engaru Town,远轻町
上富良野町,Kamifurano Town,上富良野町
富良野市,Furano,富良野市
月形町,Tsukigata,月形町
根室管内,Nemuro jurisdiction,根室管辖区
宗谷管内,Soya jurisdiction,宗谷管辖区
石狩市,Ishikari city,石狩市
登別市,Noboribetsu,登别市
恵庭市,Eniwa,惠庭市
利尻富士町,Rishirifuji Town,利尻富士町
留萌管内,Rumoi jurisdiction,留萌管辖区
八戸市,Hachinohe,八户市
五所川原管内,Goshogawara jurisdiction,五所川原管辖区
青森市,Aomori,青森市
上十三管内,Upper jurisdiction,上十三管辖区
十和田市,Towada,十和田市
仙台市,Sendai city,仙台市
七ヶ浜町,Shichigahama Town,七滨町
大崎市,Osaki City,大崎市
塩釜管内,Shiogama pipe,盐竈管辖区
気仙沼管内,Kesennuma jurisdiction,气仙沼管辖区
富谷町,Tomiya Town,富谷町
名取市,Natori City,名取市
美里町,Misato Town,美里町
多賀城市,Tagajo City,多贺城市
加美町,Kami Town,加美町
山元町,Yamamoto Town,山元町
秋田市,Akita City,秋田市
由利本荘市,Yurihonjo City,由利本庄市
横手市,Yokote City,横手市
大館市,Odate City,大馆市
由利本荘管内,Yurihonjo jurisdiction,由利本庄管辖区
大仙管内,Daisen jurisdiction,大仙管辖区
湯沢市,Yuzawa,汤泽市
上山市,Kamiyama City,上山市
新庄市,Shinjo City,新庄市
大蔵村,Okura Village,大藏村
米沢市,Yonezawa,米泽市
鶴岡市,Tsuruoka City,鹤冈市
南陽市,Nanyo City,南阳市
高畠町,Takahata Town,高畠町
飯豊町,Iide-machi,饭丰町
酒田市,Sakata City,酒田市
山形市,Yamagata,山形市
中山町,Nakayama Town,中山町
いわき市,Iwaki,磐城市
郡山市,Koriyama,郡山市
福島市,Fukushima,福岛市
南相馬市,Minamisoma City,南相马市
須賀川市,Sukagawa,须贺川市
県南管内,Prefectural south jurisdiction,县南管辖区
県北管内,Prefecture north jurisdiction,县北管辖区
本宮市,Motomiya,本宫市
二本松市,Nihonmatsu,二本松市
田村市,Tamura,田村市
広野町,Hirono Town,广野町
大玉村,Otama Village,大玉村
相馬市,Soma City,相马市
古殿町,Old town,古殿町
ひたちなか市,Hitachinaka City,常陆那珂市
つくば市,Tsukuba City,筑波市
県南地域,Southern prefecture area,县南地域
土浦市,Tsuchiura,土浦市
桜川市,Sakuragawa,樱川市
牛久市,Ushiku City,牛久市
つくばみらい市,Tsukuba Mirai City,筑波未来城市
龍ケ崎市,Ryugasaki,龙崎市
取手市,Toride city,取手市
守谷市,Moriya,守谷市
神栖市,Kamisu City,神栖市
古河市,Furukawa,古河市
筑西市,Chikusei City,筑西市
水戸市,Mito City,水户市
つくば管内,Tsukuba jurisdiction,筑波管辖区
常陸太田市,Hitachiota City,常陆太田市
阿見町,Ami Town,阿见町
鹿嶋市,Kashima City,鹿岛市
境町,Sakai Town,境町
日立市,Hitachi City,日立市
結城市,Yuki city,结城市
那珂市,Naka City,那珂市
坂東市,Bando City,坂东市
常総市,Joso City,常总市
小美玉市,Omitama City,小美玉市
美浦村,Miura,美浦市
宇都宮市,Utsunomiya City,宇都宫市
安足管内,In the foot area,安足管辖区
県西管内,West prefecture jurisdiction,县西管辖区
栃木市,Tochigi City,枥木市
足利市,Ashikaga,足利市
佐野市,Sano City,佐野市
下野市,Shimotsuke,下野市
鹿沼市,Kanuma City,鹿沼市
那須塩原市,Nasushiobara,那须盐原市
小山市,Oyama City,小山市
真岡市,Moka,真冈市
大田原市,Otawara City,大田原市
太田市,Ota City,太田市
大泉町,Oizumi Town,大泉町
前橋市,Maebashi,前桥市
高崎市,Takasaki,高崎市
館林市,Tatebayashi,馆林市
富岡市,Tomioka,富冈市
玉村町,Tamamura Town,玉村町
甘楽町,Kanra Town,甘乐町
安中市,Annaka,安中市
伊勢崎市,Isesaki,伊势崎市
藤岡市,Fujioka,藤冈市
桐生市,Kiryu,桐生市
富岡管内,Tomioka jurisdiction,富冈管辖区
沼田町,Numata Town,沼田町
渋川市,Shibukawa,涩川市
片品村,Katashina Village,片品村
利根沼田管内,Tone Numata jurisdiction,利根沼田管辖区
渋川管内,Shibukawa jurisdiction,涩川管辖区
行田市,Gyoda City,行田市
上尾市,Ageo City,上尾市
富士見市,Fujimi,富士见市
さいたま市,Saitama City,埼玉市
入間市,Iruma City,入间市
川越市,Kawagoe City,川越市
戸田市,Toda City,户田市
越谷市,Koshigaya,越谷市
川口市,Kawaguchi city,川口市
草加市,Soka,草加市
新座市,Niiza City,新座市
深谷市,Fukaya,深谷市
志木市,Shiki,志木市
熊谷市,Kumagaya,熊谷市
桶川市,Okegawa,桶川市
狭山市,Sayama City,狭山市
春日部市,Kasukabe City,春日部市
蓮田市,Hasuda,莲田市
所沢市,Tokorozawa,所泽市
坂戸市,Sakado,坂户市
白岡市,Shiraoka,白冈市
和光市,Wako city,和光市
ときがわ町,Tokigawa Town,都几川町
ふじみ野市,Fujimino City,富士见野市
八潮市,Yashio,八潮市
朝霞市,Asaka,朝霞市
三芳町,Miyoshi Town,三芳町
鴻巣市,Konosu,鸿巢市
三郷市,Misato City,三乡市
東松山市,Higashimatsuyama City,东松山市
鶴ヶ島市,Tsurugashima City,鹤岛市
神川町,Kamikawa Town,神川町
上里町,Kamisato,上里市
秩父市,Chichibu City,秩父市
飯能市,Hanno City,饭能市
毛呂山町,Moroyama Town,毛吕山町
羽生市,Hanyu City,羽生市
伊奈町,Ina Town,伊那町
吉見町,Yoshimi Town,吉见町
加須市,Kazo City,加须市
幸手市,Satte City,幸手市
杉戸町,Sugito Town,杉户町
久喜市,Kuki,久喜市
吉川市,Yoshikawa,吉川市
蕨市,Warabi City,蕨市
宮代町,Miyashiro Town,宫代町
日高市,Hidaka City,日高市
本庄市,Honjo City,本庄市
川島町,Kawashima Town,川岛町
小川町,Ogawa Town,小川町
寄居町,Yorii Town,寄居町
越生町,Ogose Town,越生町
千葉市,Chiba,千叶市
市川市,Ichigawa City,市川市
柏市,Kashiwa City,柏市
松戸市,Matsudo,松户市
いすみ市,Isumi City,夷隅市
四街道市,Yotsukaido,四街道市
船橋市,Funabashi,船桥市
匝瑳市,Sosa,匝瑳市
印西市,Inzai City,印西市
浦安市,Urayasu,浦安市
木更津市,Kisarazu,木更津市
我孫子市,Abiko,我孙子市
成田市,Narita City,成田市
流山市,Nagareyama City,流山市
習志野市,Narashino City,习志野市
香取市,Katori city,香取市
山武市,Sanmu City,山武市
佐倉市,Sakura City,佐仓市
東庄町,Tojo Town,东庄町
八街市,Yachimata,八街市
茂原市,Mobara,茂原市
印旛郡,Inba District,印旛郡
長生郡,Chosei-gun,长生郡
南房総市,Minamiboso,南房总市
白井市,Shirai City,白井市
八千代市,Yachiyo,八千代市
野田市,Noda City,野田市
酒々井町,Shisui Town,酒井町
富里市,Tomisato,富里市
市原市,Ichihara,市原市
旭市,Asahi,旭市
東金市,Togane,东金市
銚子市,Choshi,铫子市
鎌ケ谷市,Kamagaya city,镰谷市
袖ケ浦市,Sodegaura,袖浦市
横芝光町,Yokoshiba Hikarimachi,横芝光町
東葛北部,Northern Tokatsu,东葛北市
一宮市,Ichinomiya,一宫市
芝山町,Shibayama Town,芝山町
一宮町,Ichinomiya Town,一宫町
勝浦市,Katsuura,胜浦市
君津市,Kimitsu,君津市
相模原市,Sagamihara City,相模原市
横浜市,Yokohama,横滨市
鎌倉管内,Kamakura jurisdiction,镰仓管辖区
厚木管内,Atsugi jurisdiction,厚木管辖区
平塚管内,Hiratsuka jurisdiction,平冢管辖区
小田原管内,Odawara jurisdiction,小田原管辖区
藤沢市,Fujisawa,藤泽市
川崎市多摩区,Kawasaki City Tama Ward,川崎市多摩区
横須賀市,Yokosuka City,横须贺市
茅ヶ崎管内,Chigasaki jurisdiction,茅崎管辖区
川崎市麻生区,Kawasaki City Aso Ward,川崎市麻生区
川崎市,Kawasaki,川崎市
川崎市宮前区,Kawasaki City Miyamae Ward,川崎市宫前区
川崎市川崎区,Kawasaki City Kawasaki Ward,川崎市川崎区
川崎市高津区,Kawasaki City Takatsu Ward,川崎市高津区
川崎市幸区,Kawasaki City Sachi Ward,川崎市幸区
川崎市中原区,"Nakahara Ward, Kawasaki City",川崎市中原区
湯河原町,Yugawara Town,汤河原町
真鶴町,Manazuru Town,真鹤町
加茂市,Kamo City,加茂市
新潟市東区,Niigata City Higashi Ward,新泻市东区
新潟市中央区,"Chuo Ward, Niigata City",新泻市中央区
新潟市秋葉区,"Akiba Ward, Niigata City",新泻市秋叶区
新潟市南区,"Minami Ward, Niigata City",新泻市南区
新潟市江南区,Niigata City Konan Ward,新泻市江南区
長岡市,Nagaoka,长冈市
小千谷市,Ojiya City,小千谷市
新潟市西区,"Nishi ward, Niigata City",新泻市西区
燕市,Tsubame City,燕市
上越市,Joetsu City,上越市
阿賀野市,Agano City,阿贺野市
新発田管内,Shibata jurisdiction,新发田管辖区
新潟市北区,"Kita Ward, Niigata City",新泻市北区
胎内市,Wombai city,胎内市
柏崎市,Kashiwazaki,柏崎市
新潟市西蒲区,"Nishigata Ward, Niigata City",新泻市西蒲区
富山市,Toyama,富山市
砺波管内,Tonami tube,砺波管辖区
高岡管内,Takaoka jurisdiction,高冈管辖区
高岡市,Takaoka,高冈市
朝日町,Asahi Town,朝日町
氷見市,Himi,冰见市
射水市,Imizu City,射水市
立山町,Tateyama Town,立山町
上市町,Kamiichi,上市町
滑川市,Namerikawa,滑川市
南加賀管内,Minamikaga jurisdiction,南加贺管辖区
金沢市,Kanazawa,金泽市
石川中央管内,Ishikawa central jurisdiction,石川县中央管辖区
野々市,Nonoichi City,野野市市
中能登町,Nakanoto Town,中能登町
川北町,Kawakita Town,川北町
白山市,Hakusan City,白山市
かほく市,Kahoku City,河北市
小松市,Komatsu,小松市
津幡町,Tsubata Town,津幡町
羽咋市,Hakui,羽咋市
加賀市,Kaga City,加贺市
宝達志水町,Hodatsu Shimizu Town,宝达志水町
能美市,Nomi City,能美市
福井市,Fukui City,福井市
越前市,Echizen City,越前市
鯖江市,Sabae City,鲭江市
坂井市,Sakai City,坂井市
南越前町,Minami Echizen Town,南越前町
あわら市,Awara City,芦原市
大野市,Ono City,大野市
永平寺町,Eiheiji Town,永平寺市
若狭町,Wakasa Town,若狭町
笛吹市,Fuefuki city,笛吹市
南アルプス市,Minami Alps City,南阿尔卑斯市
甲府市,Kofu City,甲府市
北杜市,Hokuto City,北杜市
市川三郷町,Ichikawa Misato Town,市川三乡町
甲州市,Koshu,甲州市
中央市,Chuo City,中央市
山梨市,Yamanashi,山梨市
甲斐市,Kai city,甲斐市
上野原市,Uenohara,上野原市
韮崎市,Nirasaki,韭崎市
松本管内,Matsumoto jurisdiction,松本管辖区
佐久管内,Saku jurisdiction,佐久管辖区
飯田管内,Iida jurisdiction,饭田管辖区
大町管内,Omachi jurisdiction,大町管辖区
諏訪管内,Suwa jurisdiction,诹访管辖区
伊那管内,Ina jurisdiction,伊那管辖区
上田管内,Ueda jurisdiction,上田管辖区
長野市,Nagano city,长野市
木曽管内,Kiso jurisdiction,木曾管辖区
北信管内,Kitashin jurisdiction,北信管辖区
上田市,Ueda City,上田市
岐阜市,Gifu City,岐阜市
各務原市,Kakamigahara City,各务原市
可児市,Kani City,可儿市
川辺町,Kawabe Town,川边町
大垣市,Ogaki,大垣市
多治見市,Tajimi City,多治见市
土岐市,Toki City,土岐市
美濃市,Mino,美浓市
関市,Seki City,关市
瑞穂市,Mizuho City,瑞穗市
大野町,Ono Town,大野町
御嵩町,Mitake Town,御嵩町
本巣市,Motosu City,本巢市
池田町,Ikeda Town,池田町
恵那市,Ena City,惠那市
神戸町,Kobe town,神户町
坂祝町,Slope town,坂祝町
羽島市,Hashima,羽岛市
笠松町,Kasamatsu Town,笠松町
静岡市,Shizuoka,静冈市
浜松市,Hamamatsu city,滨松市
静岡市葵区,"Aoi Ward, Shizuoka City",静冈市葵区
富士宮市,Fujinomiya city,富士宫市
菊川市,Kikugawa,菊川市
浜松市中区,"Naka ward, Hamamatsu City",滨松市中区
長泉町,Nagaizumi Town,长泉町
静岡市清水区,Shizuoka City Shimizu Ward,静冈市清水区
静岡市駿河区,"Suruga Ward, Shizuoka City",静冈市骏河区
榛原郡,Haibara-gun,海原郡
松崎町,Matsuzaki Town,松崎町
沼津市,Numazu City,沼津市
清水町,Shimizu Town,清水町
賀茂郡,Kamo-gun,贺茂郡
南伊豆町,Minamiizu Town,南伊豆町
富士市,Fuji city,富士市
掛川市,Kakegawa,挂川市
熱海市,Atami,热海市
下田市,Shimoda,下田市
御前崎市,Omaezaki,御前崎市
名古屋市,Nagoya city,名古屋市
尾張地方,Owari region,尾张地区
蒲郡,Gamagori,蒲郡
清須市,Kiyosu City,清须市
半田市,Handa City,半田市
三河地方,Mikawa district,三河地区
岡崎市,Okazaki,冈崎市
豊田市,Toyota City,丰田市
一宮管内,Ichinomiya jurisdiction,一宫管辖区
武豊町,Taketoyo Town,武丰町
春日井市,Kasugai City,春日井市
江南市,Gangnam,江南市
知多市,Chita,知多市
豊川市,Toyokawa,丰川市
稲沢市,Inazawa,稻泽市
犬山市,Inuyama,犬山市
みよし市,Miyoshi City,三好市
長久手市,Nagakute,长久手市
瀬戸市,Seto City,濑户市
北名古屋市,Kitanagoya,北名古屋市
豊橋市,Toyohashi,丰桥市
東浦町,Higashiura Town,东浦町
常滑市,Tokoname,常滑市
東海市,Tokai City,东海市
大治町,Oji Town,大治町
西尾市,Nishio City,西尾市
新城市,Shinshiro,新城市
豊明市,Toyoake City,丰明市
碧南市,Hekinan City,碧南市
小牧市,Komaki City,小牧市
あま市,Ama City,海部市
日進市,Nisshin City,日进市
刈谷市,Kariya city,刈谷市
安城市,Anjo City,安城市
蟹江町,Kanie Town,蟹江町
津島市,Tsushima,津岛市
扶桑町,Fuso Town,扶桑町
知立市,Chiryu,知立市
阿久比町,Agui Town,阿久比町
大府市,Obu City,大府市
岩倉市,Iwakura,岩仓市
高浜市,Takahama,高滨市
弥富市,Yatomi City,弥富市
伊賀管内,Iga jurisdiction,伊贺管辖区
桑名管内,Kuwana jurisdiction,桑名管辖区
四日市,Yokkaichi,四日市
伊賀市,Iga City,伊贺市
桑名市,Kuwana City,桑名市
明和町,Meiwa Town,明和町
津市,Tsu City,津市
松阪市,Matsusaka City,松阪市
東員町,Toin Town,东员町
志摩市,Shima city,志摩市
菰野町,Komono Town,菰野町
伊勢市,Ise City,伊势市
大津市,Otsu City,大津市
東近江市,Higashiomi City,东近江市
野洲市,Yasu,野洲市
栗東市,Ritto City,栗东市
草津市,Kusatsu City,草津市
長浜市,Nagahama,长滨市
甲賀市,Koka City,甲贺市
近江八幡市,Omihachiman,近江八幡市
彦根市,Hikone,彦根市
守山市,Moriyama,守山市
米原市,Maibara,米原市
高島市,Takashima,高岛市
京都市,Kyoto City,京都市
乙訓管内,Otokuni jurisdiction,乙训管辖区
綾部市,Ayabe City,绫部市
福知山市,Fukuchiyama City,福知山市
中丹管内,Nakatan jurisdiction,中丹管辖区
宇治市,Uji city,宇治市
山城北管内,Yamashiro north jurisdiction,山城北管辖区
南丹管内,Nantan jurisdiction,南丹市辖区
山城南管内,Yamashiro south jurisdiction,山城南管辖区
丹後管内,Tango jurisdiction,丹后管辖区
中丹西管内,Nakatanishi jurisdiction,中丹西管辖区
大阪市,Osaka city,大阪市
枚方市,Hirakata,枚方市
岸和田市,Kishiwada,岸和田市
泉佐野市,Izumisano,泉佐野市
大東市,Daito City,大东市
堺市,Sakai City,堺市
高槻市,Takatsuki,高槻市
吹田市,Suita City,吹田市
東大阪市,Higashi Osaka City,东大阪市
摂津市,Settsu,摄津市
茨木市,Ibaraki City,茨木市
箕面市,Minoh,箕面市
門真市,Kadoma City,门真市
豊中市,Toyonaka City,丰中市
守口市,Moriguchi,守口市
八尾市,Yao City,八尾市
貝塚市,Kaizuka City,贝冢市
池田市,Ikeda,池田市
松原市,Matsubara,松原市
和泉市,Izumi City,和泉市
泉大津市,Izumiotsu City,泉大津市
羽曳野市,Habikino,羽曳野市
河内長野市,Kawachinagano City,河内长野市
田尻町,Tajiri Town,田尻町
寝屋川市,Neyagawa,寝屋川市
藤井寺市,Fujiidera City,藤井寺市
交野市,Katano City,交野市
熊取町,Kumatori Town,熊取町
柏原市,Kashiwara City,柏原市
四條畷市,Shijonawate City,四条畷市
高石市,Takaishi,高石市
能勢町,Nose Town,能势町
大阪狭山市,Osaka Sayama City,大阪狭山市
泉南市,Sennan city,泉南市
富田林市,Tomitabayashi,富田林市
阪南市,Hannan City,阪南市
豊能町,Toyono Town,丰能町
河南町,Henan Town,河南町
西宮市,Nishinomiya,西宫市
神戸市,Kobe City,神户市
福崎町,Fukusaki Town,福崎町
姫路市,Himeji,姬路市
三田市,Mita City,三田市
川西市,Kawanishi City,川西市
伊丹市,Itami,伊丹市
丹波市,Tamba city,丹波市
尼崎市,Amagasaki,尼崎市
宝塚市,Takarazuka,宝冢市
伊丹管内,Itami jurisdiction,伊丹管辖区
芦屋市,Ashiya,芦屋市
加古川市,Kakogawa,加古川市
加西市,Kasai City,加西市
加東管内,Kato jurisdiction,加东管辖区
宝塚管内,Takarazuka jurisdiction,宝冢管辖区
淡路市,Awaji City,淡路市
明石市,Akashi City,明石市
稲美町,Inami Town,稻美町
高砂市,Takasago,高砂市
芦屋管内,Ashiya jurisdiction,芦屋管辖区
播磨町,Harima Town,播磨町
猪名川町,Inagawa Town,稻川町
奈良市,Nara city,奈良市
郡山管内,Koriyama jurisdiction,郡山管辖区
中和管内,Neutralization pipe,中和管辖区
香芝市,Kashiba,香芝市
大和郡山市,Yamatokoriyama City,大和郡山市
斑鳩町,Ikaruga Town,斑鸠町
橿原市,Kashihara,橿原市
三郷町,Misato Town,三乡町
広陵町,Goryo Town,广陵町
大和高田市,Yamatotakada,大和高田市
葛城市,Katsuragi,葛城市
生駒市,Ikoma City,生驹市
大淀町,Oyodo Town,大淀町
五條市,Gojo City,五条市
天理市,Tenri City,天理市
桜井市,Sakurai,樱井市
和歌山市,Wakayama City,和歌山市
和歌山県,Wakayama Prefecture,和歌山县
岩出管内,Inside Iwade,岩出管辖区
橋本管内,Hashimoto jurisdiction,桥本管辖区
鳥取市,Tottori City,鸟取市
米子市,Yonago,米子市
松江市,Matsue,松江市
出雲市,Izumo,出云市
岡山市,Okayama City,冈山市
里庄町,Satosho Town,里庄市
玉野市,Tamano City,玉野市
早島町,Hayashima Town,早岛町
津山市,Tsuyama,津山市
広島市,Hiroshima city,广岛市
尾道市,Onomichi,尾道市
福山市,Fukuyama City,福山市
府中町,Fuchu Town,府中町
江田島市,Etajima City,江田岛市
東広島市,Higashihiroshima City,东广岛市
三次市,Miyoshi City,三次市
廿日市,Hatsukaichi,廿日市
三原市,Mihara,三原市
呉市,Kure,吴市
海田町,Kaita Town,海田町
下関市,Shimonoseki,下关市
山口市,Yamaguchi City,山口市
下松市,Kudamatsu City,下松市
周南市,Shunan City,周南市
光市,Light city,光市
岩国市,Iwakuni,岩国市
宇部市,Ube City,宇部市
防府市,Hofu City,防府市
山陽小野田市,Sanyo Onoda,山阳小野田市
徳島管内,Tokushima jurisdiction,德岛管辖区
丸亀市,Marugame,丸龟市
高松市,Takamatsu,高松市
さぬき市,Sanuki City,赞岐市
東かがわ市,Higashikagawa City,东香川市
坂出市,Sakaide City,坂出市
愛南町,Ainan Town,爱南町
松山市,Matsuyama City,松山市
新居浜市,Niihama,新居滨市
松前町,Matsumae,松前市
砥部町,Tobe Town,砥部町
伊予市,Iyo City,伊予市
高知市,Kochi,高知市
安芸管内,Aki jurisdiction,安芸管辖区
中央西管内,Central west jurisdiction,中央西管辖区
中央東管内,Central east jurisdiction,中央东管辖区
幡多管内,Hata jurisdiction,幡多管辖区
福岡市中央区,"Chuo Ward, Fukuoka City",福冈市中央区
北九州市小倉南区,Kitakyushu City Ogura Minami Ward,北九州市小仓南区
福岡市,Fukuoka City,福冈市
宗像市,Munakata City,宗像市
北九州市小倉北区,Kitakyushu Ogurakita Ward,北九州小仓北区
福岡市早良区,"Sawara Ward, Fukuoka City",福冈市早良区
飯塚市,Iizuka,饭冢市
福岡市東区,"Higashi Ward, Fukuoka City",福冈市东区
福岡市城南区,"Jonan Ward, Fukuoka City",福冈市城南区
糟屋郡,Kasuya-gun,糟屋郡
福岡市博多区,"Hakata Ward, Fukuoka City",福冈市博多区
福岡市南区,"Minami Ward, Fukuoka City",福冈市南区
福岡市西区,"Nishi Ward, Fukuoka City",福冈市西区
筑後市,Chikugo,筑后市
北九州市八幡西区,Kitakyushu City Hachiman Nishi Ward,北九州市八幡西区
京都郡,Kyoto-gun,京都郡
久留米市,Kurume,久留米市
北九州市戸畑区,"Tobata ward, Kitakyushu",北九州市户畑区
北九州市若松区,"Wakamatsu Ward, Kitakyushu",北九州市若松区
北九州市門司区,Kitakyushu Moji Ward,北九州门司区
糸島市,Itoshima,丝岛市
豊前市,Buzen City,丰前市
行橋市,Yukuhashi,行桥市
中間市,Middle city,中间市
柳川市,Yanagawa,柳川市
筑紫野市,Chikushino,筑紫野市
春日市,Kasuga City,春日市
太宰府市,Dazaifu City,太宰府市
八女郡,Yame District,八女郡
大野城市,Onojo City,大野城市
福津市,Fukutsu City,福津市
