公表_年月日,無症状,軽症,中等症,重症,非公表,重複削除,日計,ここから右は北海道発表分のみ,年月日再掲,無症状.道.,軽症.道.,中等症.道.,重症.道.,非公表.道.,日計.道.,備考
2020-03-25,0,4,0,0,0,0,4,"",2020-03-25,0,0,0,0,0,0,""
2020-03-26,0,0,0,0,1,0,1,"",2020-03-26,0,0,0,0,0,0,""
2020-03-27,0,0,1,0,0,0,1,"",2020-03-27,0,0,0,0,0,0,""
2020-03-28,0,3,0,0,0,0,3,"",2020-03-28,0,0,0,0,0,0,""
2020-03-29,0,4,0,0,0,0,4,"",2020-03-29,0,0,0,0,0,0,""
2020-03-30,0,1,0,0,0,0,1,"",2020-03-30,0,0,0,0,0,0,""
2020-04-01,1,4,0,0,0,0,5,"",2020-04-01,0,0,0,0,0,0,""
2020-04-02,0,3,0,0,0,0,3,"",2020-04-02,0,0,0,0,0,0,""
2020-04-03,0,5,0,0,0,0,5,"",2020-04-03,0,0,0,0,0,0,""
2020-04-04,0,3,0,0,0,0,3,"",2020-04-04,0,0,0,0,0,0,""
2020-04-05,0,1,0,0,0,0,1,"",2020-04-05,0,0,0,0,0,0,""
2020-04-07,0,4,0,0,0,0,4,"",2020-04-07,0,0,0,0,0,0,""
2020-04-08,0,7,1,1,1,0,10,"",2020-04-08,0,0,0,0,0,0,""
2020-04-09,0,17,0,1,0,0,18,"",2020-04-09,0,0,0,0,0,0,""
2020-04-10,2,11,0,0,0,0,13,"",2020-04-10,0,0,0,0,0,0,""
2020-04-11,4,9,0,0,3,0,16,"",2020-04-11,0,0,0,0,0,0,""
2020-04-12,3,7,0,0,2,0,12,"",2020-04-12,0,0,0,0,0,0,""
2020-04-13,0,3,0,2,0,0,5,"",2020-04-13,0,0,0,0,0,0,""
2020-04-14,0,15,0,0,3,0,18,"",2020-04-14,0,0,0,0,0,0,""
2020-04-15,0,19,1,1,2,0,23,"",2020-04-15,0,0,0,0,0,0,""
2020-04-16,4,17,0,2,0,0,23,"",2020-04-16,0,0,0,0,0,0,""
2020-04-17,1,27,2,2,1,0,33,"",2020-04-17,0,0,0,0,0,0,""
2020-04-18,11,25,1,0,1,0,38,"",2020-04-18,0,0,0,0,0,0,""
2020-04-19,3,20,0,1,3,0,27,"",2020-04-19,0,0,0,0,0,0,""
2020-04-20,2,12,2,0,1,0,17,"",2020-04-20,0,0,0,0,0,0,""
2020-04-21,5,15,1,0,1,0,22,"",2020-04-21,0,0,0,0,0,0,""
2020-04-22,1,19,1,0,1,0,22,"",2020-04-22,0,0,0,0,0,0,""
2020-04-23,4,33,5,1,2,0,45,"",2020-04-23,0,0,0,0,0,0,""
2020-04-24,1,18,1,0,2,0,22,"",2020-04-24,0,0,0,0,0,0,""
2020-04-25,4,32,2,0,1,0,39,"",2020-04-25,0,0,0,0,0,0,""
2020-04-26,2,11,0,0,1,0,14,"",2020-04-26,0,0,0,0,0,0,""
2020-04-27,1,23,8,1,2,0,35,"",2020-04-27,0,0,0,0,0,0,""
2020-04-28,9,22,5,1,1,0,38,"",2020-04-28,0,0,0,0,0,0,""
2020-04-29,19,17,2,0,0,0,38,"",2020-04-29,0,0,0,0,0,0,""
2020-04-30,9,30,1,1,0,0,41,"",2020-04-30,0,0,0,0,0,0,""
2020-05-01,5,16,1,0,1,0,23,"",2020-05-01,0,0,0,0,0,0,""
2020-05-02,0,29,3,0,1,0,33,"",2020-05-02,0,0,0,0,0,0,""
2020-05-03,1,18,3,2,1,0,25,"",2020-05-03,0,0,0,0,0,0,""
2020-05-04,4,22,3,0,2,0,31,"",2020-05-04,0,0,0,0,0,0,""
2020-05-05,0,10,0,2,0,0,12,"",2020-05-05,0,0,0,0,0,0,""
2020-05-06,0,23,0,0,0,0,23,"",2020-05-06,0,0,0,0,0,0,""
2020-05-07,0,14,0,0,0,0,14,"",2020-05-07,0,0,0,0,0,0,""
2020-05-08,0,6,0,0,0,0,6,"",2020-05-08,0,0,0,0,0,0,""
2020-05-09,3,4,1,0,3,0,11,"",2020-05-09,0,0,0,0,0,0,""
2020-05-10,0,9,0,0,0,0,9,"",2020-05-10,0,0,0,0,0,0,""
2020-05-11,0,9,0,0,3,0,12,"",2020-05-11,0,0,0,0,0,0,""
2020-05-12,0,10,0,0,3,0,13,"",2020-05-12,0,0,0,0,0,0,""
2020-05-13,0,4,0,0,0,0,4,"",2020-05-13,0,0,0,0,0,0,""
2020-05-14,0,5,0,0,1,0,6,"",2020-05-14,0,0,0,0,0,0,""
2020-05-15,0,8,1,0,1,0,10,"",2020-05-15,0,0,0,0,0,0,""
2020-05-16,0,4,1,0,2,0,7,"",2020-05-16,0,0,0,0,0,0,""
2020-05-17,0,7,0,0,1,0,8,"",2020-05-17,0,0,0,0,0,0,""
2020-05-18,0,1,0,0,0,0,1,"",2020-05-18,0,0,0,0,0,0,""
2020-05-19,0,2,0,0,1,0,3,"",2020-05-19,0,0,0,0,0,0,""
2020-05-20,0,0,1,0,0,0,1,"",2020-05-20,0,0,0,0,0,0,""
2020-05-21,1,4,0,0,0,0,5,"",2020-05-21,0,0,0,0,0,0,""
2020-05-22,0,5,0,0,1,0,6,"",2020-05-22,0,0,0,0,0,0,""
2020-05-23,0,7,0,0,2,0,9,"",2020-05-23,0,0,0,0,0,0,""
2020-05-24,2,8,3,0,2,0,15,"",2020-05-24,0,0,0,0,0,0,""
2020-05-25,0,3,0,0,0,0,3,"",2020-05-25,0,0,0,0,0,0,""
2020-05-26,1,7,0,0,1,0,9,"",2020-05-26,0,0,0,0,0,0,""
2020-05-27,1,4,0,0,0,0,5,"",2020-05-27,0,0,0,0,0,0,""
2020-05-28,0,6,0,0,1,0,7,"",2020-05-28,0,0,0,0,0,0,""
2020-05-29,0,2,0,0,1,0,3,"",2020-05-29,0,0,0,0,0,0,""
2020-05-30,0,3,0,0,1,0,4,"",2020-05-30,0,0,0,0,0,0,""
2020-05-31,0,5,1,0,0,0,6,"",2020-05-31,0,0,0,0,0,0,""
2020-06-01,1,3,0,0,1,0,5,"",2020-06-01,0,0,0,0,0,0,""
2020-06-02,0,3,0,0,0,0,3,"",2020-06-02,0,0,0,0,0,0,""
2020-06-03,1,2,0,0,0,0,3,"",2020-06-03,0,0,0,0,0,0,""
2020-06-04,1,1,1,0,0,0,3,"",2020-06-04,0,0,0,0,0,0,""
2020-06-05,0,4,0,0,0,0,4,"",2020-06-05,0,0,0,0,0,0,""
2020-06-06,0,5,1,1,1,0,8,"",2020-06-06,0,0,0,0,0,0,""
2020-06-07,0,3,0,0,1,0,4,"",2020-06-07,0,0,0,0,0,0,""
2020-06-08,0,3,0,0,1,0,4,"",2020-06-08,0,0,0,0,0,0,""
2020-06-09,1,4,0,0,2,0,7,"",2020-06-09,0,0,0,0,0,0,""
2020-06-10,2,3,0,0,0,0,5,"",2020-06-10,0,0,0,0,0,0,""
2020-06-11,1,2,1,0,3,0,7,"",2020-06-11,0,0,0,0,0,0,""
2020-06-12,0,6,1,0,3,0,10,"",2020-06-12,0,0,0,0,0,0,""
2020-06-13,0,9,0,0,0,0,9,"",2020-06-13,0,0,0,0,0,0,""
2020-06-14,1,6,0,0,0,0,7,"",2020-06-14,0,0,0,0,0,0,""
2020-06-15,2,4,0,0,0,0,6,"",2020-06-15,0,0,0,0,0,0,""
2020-06-16,1,1,0,0,0,0,2,"",2020-06-16,0,0,0,0,0,0,""
2020-06-17,0,4,1,0,1,0,6,"",2020-06-17,0,0,0,0,0,0,""
2020-06-18,1,4,0,0,0,0,5,"",2020-06-18,0,0,0,0,0,0,""
2020-06-19,1,1,0,0,1,0,3,"",2020-06-19,0,0,0,0,0,0,""
2020-06-20,0,3,0,0,0,0,3,"",2020-06-20,0,0,0,0,0,0,""
2020-06-21,0,2,0,0,0,0,2,"",2020-06-21,0,0,0,0,0,0,""
2020-06-22,1,1,0,0,0,0,2,"",2020-06-22,0,0,0,0,0,0,""
2020-06-23,0,1,0,0,0,0,1,"",2020-06-23,0,0,0,0,0,0,""
2020-06-24,5,5,0,0,0,0,10,"",2020-06-24,0,0,0,0,0,0,""
2020-06-25,4,1,1,0,0,0,6,"",2020-06-25,0,0,0,0,0,0,""
2020-06-26,0,2,2,1,0,0,5,"",2020-06-26,0,0,0,0,0,0,""
2020-06-27,0,0,0,0,1,0,1,"",2020-06-27,0,0,0,0,0,0,""
2020-06-28,8,9,0,0,0,0,17,"",2020-06-28,0,0,0,0,0,0,""
2020-06-29,4,6,1,0,0,0,11,"",2020-06-29,0,0,0,0,0,0,""
2020-06-30,10,2,0,1,0,0,13,"",2020-06-30,0,0,0,0,0,0,""
2020-07-01,0,4,0,0,0,0,4,"",2020-07-01,0,0,0,0,0,0,""
2020-07-02,3,5,0,0,0,0,8,"",2020-07-02,0,0,0,0,0,0,""
2020-07-04,0,1,0,0,0,0,1,"",2020-07-04,0,0,0,0,0,0,""
2020-07-05,0,1,0,0,0,0,1,"",2020-07-05,0,0,0,0,0,0,""
2020-07-07,0,1,0,0,0,0,1,"",2020-07-07,0,0,0,0,0,0,""
2020-07-08,0,4,0,0,0,0,4,"",2020-07-08,0,0,0,0,0,0,""
2020-07-09,1,0,0,0,0,0,1,"",2020-07-09,0,0,0,0,0,0,""
2020-07-10,2,3,0,0,1,0,6,"",2020-07-10,0,0,0,0,0,0,""
2020-07-11,0,1,0,0,0,0,1,"",2020-07-11,0,0,0,0,0,0,""
2020-07-12,1,2,1,0,0,0,4,"",2020-07-12,0,0,0,0,0,0,""
2020-07-13,0,1,1,0,0,0,2,"",2020-07-13,0,0,0,0,0,0,""
2020-07-14,0,8,0,0,0,0,8,"",2020-07-14,0,0,0,0,0,0,""
2020-07-15,0,10,0,0,3,0,13,"",2020-07-15,0,0,0,0,0,0,""
2020-07-16,0,5,0,0,1,0,6,"",2020-07-16,0,0,0,0,0,0,""
2020-07-17,0,3,0,0,0,0,3,"",2020-07-17,0,0,0,0,0,0,""
2020-07-18,3,10,0,0,0,0,13,"",2020-07-18,0,0,0,0,0,0,""
2020-07-19,2,7,0,0,0,0,9,"",2020-07-19,0,0,0,0,0,0,""
2020-07-20,0,3,0,0,0,0,3,"",2020-07-20,0,0,0,0,0,0,""
2020-07-21,2,5,0,0,3,0,10,"",2020-07-21,0,0,0,0,0,0,""
2020-07-22,0,6,0,0,0,0,6,"",2020-07-22,0,0,0,0,0,0,""
2020-07-23,2,2,0,0,0,0,4,"",2020-07-23,0,0,0,0,0,0,""
2020-07-24,1,5,0,0,0,0,6,"",2020-07-24,0,0,0,0,0,0,""
2020-07-25,3,6,0,0,0,0,9,"",2020-07-25,0,0,0,0,0,0,""
2020-07-26,1,2,0,0,2,0,5,"",2020-07-26,0,0,0,0,0,0,""
2020-07-27,0,4,0,0,1,0,5,"",2020-07-27,0,0,0,0,0,0,""
2020-07-28,0,3,0,0,0,0,3,"",2020-07-28,0,0,0,0,0,0,""
2020-07-29,1,4,0,0,0,0,5,"",2020-07-29,0,0,0,0,0,0,""
2020-07-30,0,7,0,0,2,0,9,"",2020-07-30,0,0,0,0,0,0,""
2020-07-31,0,15,0,0,0,0,15,"",2020-07-31,0,0,0,0,0,0,""
2020-08-01,2,12,0,0,4,0,18,"",2020-08-01,0,0,0,0,0,0,""
2020-08-02,1,7,0,0,1,0,9,"",2020-08-02,0,0,0,0,0,0,""
2020-08-03,1,12,0,0,10,0,23,"",2020-08-03,0,0,0,0,0,0,""
2020-08-04,2,9,0,0,0,0,11,"",2020-08-04,0,0,0,0,0,0,""
2020-08-05,2,10,0,0,2,0,14,"",2020-08-05,0,0,0,0,0,0,""
2020-08-06,4,6,0,0,1,0,11,"",2020-08-06,0,0,0,0,0,0,""
2020-08-07,0,11,0,0,3,0,14,"",2020-08-07,0,0,0,0,0,0,""
2020-08-08,0,11,1,0,1,0,13,"",2020-08-08,0,0,0,0,0,0,""
2020-08-09,1,10,0,0,0,0,11,"",2020-08-09,0,0,0,0,0,0,""
2020-08-10,2,10,0,0,1,0,13,"",2020-08-10,0,0,0,0,0,0,""
2020-08-11,2,11,0,0,1,0,14,"",2020-08-11,0,0,0,0,0,0,""
2020-08-12,1,3,0,0,0,0,4,"",2020-08-12,0,0,0,0,0,0,""
2020-08-13,0,7,0,0,3,0,10,"",2020-08-13,0,0,0,0,0,0,""
2020-08-14,2,10,0,0,0,0,12,"",2020-08-14,0,0,0,0,0,0,""
2020-08-15,5,8,0,0,1,0,14,"",2020-08-15,0,0,0,0,0,0,""
2020-08-16,0,8,0,0,0,0,8,"",2020-08-16,0,0,0,0,0,0,""
2020-08-17,0,4,0,0,1,0,5,"",2020-08-17,0,0,0,0,0,0,""
2020-08-18,0,5,0,0,1,0,6,"",2020-08-18,0,0,0,0,0,0,""
2020-08-19,0,8,0,0,0,0,8,"",2020-08-19,0,0,0,0,0,0,""
2020-08-20,8,13,0,0,4,0,25,"",2020-08-20,0,0,0,0,0,0,""
2020-08-21,1,8,1,0,0,0,10,"",2020-08-21,0,0,0,0,0,0,""
2020-08-22,1,13,0,0,3,0,17,"",2020-08-22,0,0,0,0,0,0,""
2020-08-23,1,13,0,0,0,0,14,"",2020-08-23,0,0,0,0,0,0,""
2020-08-24,1,5,0,0,2,0,8,"",2020-08-24,0,0,0,0,0,0,""
2020-08-25,0,6,0,0,1,0,7,"",2020-08-25,0,0,0,0,0,0,""
2020-08-26,1,6,0,0,0,0,7,"",2020-08-26,0,0,0,0,0,0,""
2020-08-27,1,9,0,0,0,0,10,"",2020-08-27,0,0,0,0,0,0,""
2020-08-28,1,14,1,0,0,0,16,"",2020-08-28,0,0,0,0,0,0,""
2020-08-29,1,8,0,0,0,0,9,"",2020-08-29,0,0,0,0,0,0,""
2020-08-30,0,4,0,0,0,0,4,"",2020-08-30,0,0,0,0,0,0,""
2020-08-31,2,5,0,0,1,0,8,"",2020-08-31,0,0,0,0,0,0,""
2020-09-01,4,11,0,0,1,0,16,"",2020-09-01,0,0,0,0,0,0,""
2020-09-02,0,5,0,0,1,0,6,"",2020-09-02,0,0,0,0,0,0,""
2020-09-03,0,5,0,0,1,0,6,"",2020-09-03,0,0,0,0,0,0,""
2020-09-04,0,5,0,0,0,0,5,"",2020-09-04,0,0,0,0,0,0,""
2020-09-05,0,9,0,0,1,0,10,"",2020-09-05,0,0,0,0,0,0,""
2020-09-06,0,4,0,0,0,0,4,"",2020-09-06,0,0,0,0,0,0,""
2020-09-07,0,4,1,0,1,0,6,"",2020-09-07,0,0,0,0,0,0,""
2020-09-08,1,9,0,0,1,0,11,"",2020-09-08,0,0,0,0,0,0,""
2020-09-09,0,3,0,0,1,0,4,"",2020-09-09,0,0,0,0,0,0,""
2020-09-10,0,10,0,0,1,0,11,"",2020-09-10,0,0,0,0,0,0,""
2020-09-11,0,4,0,0,2,0,6,"",2020-09-11,0,0,0,0,0,0,""
2020-09-12,0,4,0,0,3,0,7,"",2020-09-12,0,0,0,0,0,0,""
2020-09-13,0,2,0,0,1,0,3,"",2020-09-13,0,0,0,0,0,0,""
2020-09-14,0,5,0,0,3,0,8,"",2020-09-14,0,0,0,0,0,0,""
2020-09-15,1,6,0,0,1,0,8,"",2020-09-15,0,0,0,0,0,0,""
2020-09-16,2,6,0,0,3,0,11,"",2020-09-16,0,0,0,0,0,0,""
2020-09-17,2,4,0,0,1,0,7,"",2020-09-17,0,0,0,0,0,0,""
2020-09-18,4,9,0,0,4,0,17,"",2020-09-18,0,0,0,0,0,0,""
2020-09-19,2,10,0,0,5,0,17,"",2020-09-19,0,0,0,0,0,0,""
2020-09-20,2,8,0,0,6,0,16,"",2020-09-20,0,0,0,0,0,0,""
2020-09-21,2,7,2,0,4,0,15,"",2020-09-21,0,0,0,0,0,0,""
2020-09-22,2,6,0,0,1,0,9,"",2020-09-22,0,0,0,0,0,0,""
2020-09-23,4,6,0,0,2,0,12,"",2020-09-23,0,0,0,0,0,0,""
2020-09-24,0,9,0,0,2,0,11,"",2020-09-24,0,0,0,0,0,0,""
2020-09-25,6,17,0,0,2,0,25,"",2020-09-25,0,0,0,0,0,0,""
2020-09-26,0,7,0,0,0,0,7,"",2020-09-26,0,0,0,0,0,0,""
2020-09-27,0,16,1,0,2,0,19,"",2020-09-27,0,0,0,0,0,0,""
2020-09-28,1,13,0,0,3,0,17,"",2020-09-28,0,0,0,0,0,0,""
2020-09-29,1,12,0,0,3,0,16,"",2020-09-29,0,0,0,0,0,0,""
2020-09-30,4,10,0,0,2,0,16,"",2020-09-30,0,0,0,0,0,0,""
2020-10-01,2,15,0,0,2,0,19,"",2020-10-01,0,0,0,0,0,0,""
2020-10-02,1,14,0,0,0,0,15,"",2020-10-02,0,0,0,0,0,0,""
2020-10-03,3,15,0,0,0,0,18,"",2020-10-03,0,0,0,0,0,0,""
2020-10-04,4,15,0,0,3,0,22,"",2020-10-04,0,0,0,0,0,0,""
2020-10-05,7,23,0,0,6,0,36,"",2020-10-05,0,0,0,0,0,0,""
2020-10-06,2,7,2,0,1,0,12,"",2020-10-06,0,0,0,0,0,0,""
2020-10-07,5,29,0,0,4,0,38,"",2020-10-07,0,0,0,0,0,0,""
2020-10-08,1,21,1,0,6,0,29,"",2020-10-08,0,0,0,0,0,0,""
2020-10-09,3,21,0,0,3,0,27,"",2020-10-09,0,0,0,0,0,0,""
2020-10-10,5,13,0,0,6,0,24,"",2020-10-10,0,0,0,0,0,0,""
2020-10-11,6,24,0,0,1,0,31,"",2020-10-11,0,0,0,0,0,0,""
2020-10-12,3,8,0,0,1,0,12,"",2020-10-12,0,0,0,0,0,0,""
2020-10-13,4,15,0,1,0,0,20,"",2020-10-13,0,0,0,0,0,0,""
2020-10-14,2,16,0,0,2,0,20,"",2020-10-14,0,0,0,0,0,0,""
2020-10-15,9,20,0,0,1,0,30,"",2020-10-15,0,0,0,0,0,0,""
2020-10-16,5,21,1,0,4,0,31,"",2020-10-16,0,0,0,0,0,0,""
2020-10-17,4,15,0,0,8,0,27,"",2020-10-17,0,0,0,0,0,0,""
2020-10-18,3,18,0,0,3,0,24,"",2020-10-18,0,0,0,0,0,0,""
2020-10-19,2,10,0,0,5,0,17,"",2020-10-19,0,0,0,0,0,0,""
2020-10-20,5,22,0,0,4,0,31,"",2020-10-20,0,0,0,0,0,0,""
2020-10-21,5,16,0,0,1,0,22,"",2020-10-21,0,0,0,0,0,0,""
2020-10-22,11,22,2,0,5,0,40,"",2020-10-22,0,0,0,0,0,0,""
2020-10-23,8,34,0,0,9,0,51,"",2020-10-23,0,0,0,0,0,0,""
2020-10-24,12,30,1,1,16,0,60,"",2020-10-24,0,0,0,0,0,0,""
2020-10-25,6,28,0,0,7,0,41,"",2020-10-25,0,0,0,0,0,0,""
2020-10-26,11,28,1,0,10,0,50,"",2020-10-26,0,0,0,0,0,0,""
2020-10-27,3,21,0,0,3,0,27,"",2020-10-27,0,0,0,0,0,0,""
2020-10-28,11,36,0,0,5,0,52,"",2020-10-28,0,0,0,0,0,0,""
2020-10-29,7,38,0,0,8,0,53,"",2020-10-29,0,0,0,0,0,0,""
2020-10-30,12,47,0,1,9,0,69,"",2020-10-30,0,0,0,0,0,0,""
2020-10-31,9,66,0,0,6,0,81,"",2020-10-31,0,0,0,0,0,0,""
2020-11-01,8,48,1,0,12,0,69,"",2020-11-01,0,0,0,0,0,0,""
2020-11-02,16,65,0,0,15,0,96,"",2020-11-02,0,0,0,0,0,0,""
2020-11-03,7,45,1,0,18,0,71,"",2020-11-03,0,0,0,0,0,0,""
2020-11-04,8,51,1,0,15,0,75,"",2020-11-04,0,0,0,0,0,0,""
2020-11-05,12,90,0,0,17,0,119,"",2020-11-05,0,0,0,0,0,0,""
2020-11-06,9,95,1,1,9,0,115,"",2020-11-06,0,0,0,0,0,0,""
2020-11-07,21,152,1,0,13,0,187,"",2020-11-07,0,0,0,0,0,0,""
2020-11-08,11,117,0,0,25,0,153,"",2020-11-08,0,0,0,0,0,0,""
2020-11-09,33,151,2,0,14,0,200,"",2020-11-09,0,0,0,0,0,0,""
2020-11-10,17,92,1,0,56,0,166,"",2020-11-10,0,0,0,0,0,0,""
2020-11-11,30,144,1,1,21,0,197,"",2020-11-11,0,0,0,0,0,0,""
2020-11-12,29,184,2,1,20,0,236,"",2020-11-12,0,0,0,0,0,0,""
2020-11-13,24,167,2,1,41,0,235,"",2020-11-13,0,0,0,0,0,0,""
2020-11-14,31,155,3,0,41,0,230,"",2020-11-14,0,0,0,0,0,0,""
2020-11-15,40,136,2,0,31,0,209,"",2020-11-15,0,0,0,0,0,0,""
2020-11-16,29,133,1,0,26,0,189,"",2020-11-16,0,0,0,0,0,0,""
2020-11-17,24,142,2,0,29,0,197,"",2020-11-17,0,0,0,0,0,0,""
2020-11-18,27,183,1,0,22,0,233,"",2020-11-18,0,0,0,0,0,0,""
2020-11-19,37,172,2,0,56,0,267,"",2020-11-19,0,0,0,0,0,0,""
2020-11-20,31,200,1,1,71,0,304,"",2020-11-20,0,0,0,0,0,0,""
2020-11-21,35,141,0,0,58,0,234,"",2020-11-21,0,0,0,0,0,0,""
2020-11-22,27,156,1,0,61,0,245,"",2020-11-22,0,0,0,0,0,0,""
2020-11-23,22,140,4,0,39,1,205,"",2020-11-23,0,0,0,0,0,0,""
2020-11-24,28,155,1,0,32,0,216,"",2020-11-24,0,0,0,0,0,0,""
2020-11-25,23,86,3,1,68,0,181,"",2020-11-25,0,0,0,0,0,0,""
2020-11-26,32,167,3,0,54,0,256,"",2020-11-26,0,0,0,0,0,0,""
2020-11-27,46,154,4,0,48,0,252,"",2020-11-27,0,0,0,0,0,0,""
2020-11-28,26,169,0,0,57,0,252,"",2020-11-28,0,0,0,0,0,0,""
2020-11-29,22,124,4,0,42,0,192,"",2020-11-29,0,0,0,0,0,0,""
2020-11-30,32,74,1,0,44,0,151,"",2020-11-30,0,0,0,0,0,0,""
2020-12-01,31,120,0,1,54,0,206,"",2020-12-01,0,0,0,0,0,0,""
2020-12-02,22,94,2,0,56,2,174,"",2020-12-02,0,0,0,0,0,0,""
2020-12-03,38,123,0,0,45,0,206,"",2020-12-03,0,0,0,0,0,0,""
2020-12-04,41,132,2,0,37,0,212,"",2020-12-04,0,0,0,0,0,0,""
2020-12-05,26,104,2,0,51,0,183,"",2020-12-05,0,0,0,0,0,0,""
2020-12-06,41,78,0,0,68,0,187,"",2020-12-06,0,0,0,0,0,0,""
2020-12-07,23,83,0,0,18,0,124,"",2020-12-07,0,0,0,0,0,0,""
2020-12-08,34,98,0,0,72,0,204,"",2020-12-08,0,0,0,0,0,0,""
2020-12-09,31,125,3,0,38,0,197,"",2020-12-09,0,0,0,0,0,0,""
2020-12-10,32,137,5,0,67,0,241,"",2020-12-10,0,0,0,0,0,0,""
2020-12-11,38,111,2,1,25,0,177,"",2020-12-11,0,0,0,0,0,0,""
2020-12-12,22,101,3,0,62,1,188,"",2020-12-12,0,0,0,0,0,0,""
2020-12-13,28,109,0,0,27,0,164,"",2020-12-13,0,0,0,0,0,0,""
2020-12-14,13,93,2,0,17,0,125,"",2020-12-14,0,0,0,0,0,0,""
2020-12-15,19,58,5,0,22,0,104,"",2020-12-15,0,0,0,0,0,0,""
2020-12-16,18,54,3,0,11,0,86,"",2020-12-16,0,0,0,0,0,0,""
2020-12-17,23,95,4,0,17,0,139,"",2020-12-17,0,0,0,0,0,0,""
2020-12-18,28,86,6,0,21,0,141,"",2020-12-18,0,0,0,0,0,0,""
2020-12-19,26,83,0,0,23,0,132,"",2020-12-19,0,0,0,0,0,0,""
2020-12-20,25,87,10,0,13,0,135,"",2020-12-20,0,0,0,0,0,0,""
2020-12-21,20,78,2,0,10,0,110,"",2020-12-21,0,0,0,0,0,0,""
2020-12-22,11,37,1,0,25,0,74,"",2020-12-22,0,0,0,0,0,0,""
2020-12-23,17,72,1,0,24,0,114,"",2020-12-23,0,0,0,0,0,0,""
2020-12-24,16,70,1,0,36,0,123,"",2020-12-24,0,0,0,0,0,0,""
2020-12-25,15,69,2,0,11,0,97,"",2020-12-25,0,0,0,0,0,0,""
2020-12-26,31,85,4,0,41,0,161,"",2020-12-26,0,0,0,0,0,0,""
2020-12-27,13,50,3,0,19,0,85,"",2020-12-27,0,0,0,0,0,0,""
2020-12-28,13,67,1,0,13,0,94,"",2020-12-28,0,0,0,0,0,0,""
2020-12-29,21,60,0,0,6,0,87,"",2020-12-29,0,0,0,0,0,0,""
2020-12-30,24,77,1,0,31,0,133,"",2020-12-30,0,0,0,0,0,0,""
2020-12-31,22,85,2,0,58,0,167,"",2020-12-31,0,0,0,0,0,0,""
2021-01-01,23,62,2,0,11,0,98,"",2021-01-01,0,0,0,0,0,0,""
