country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,nameJa
JP,Japan,Aichi,"",2020-03-13,-7,3,19,-21,-4,4,愛知
JP,Japan,Aichi,"",2020-03-14,-12,-2,-39,-35,-6,7,愛知
JP,Japan,Aichi,"",2020-03-15,-10,3,13,-31,-3,4,愛知
JP,Japan,Aichi,"",2020-03-16,-8,0,-4,-18,-3,4,愛知
JP,Japan,Aichi,"",2020-03-17,-5,2,22,-19,-3,3,愛知
JP,Japan,Aichi,"",2020-03-18,-4,4,22,-16,-2,3,愛知
JP,Japan,Aichi,"",2020-03-19,4,4,18,-14,-5,3,愛知
JP,Japan,Aichi,"",2020-03-20,2,2,17,-41,-43,15,愛知
JP,Japan,Aichi,"",2020-03-21,-9,3,30,-28,-6,4,愛知
JP,Japan,Aichi,"",2020-03-22,-11,1,21,-26,-4,3,愛知
JP,Japan,Aichi,"",2020-03-23,-5,1,19,-14,-4,3,愛知
JP,Japan,Aichi,"",2020-03-24,-3,2,11,-17,-4,4,愛知
JP,Japan,Aichi,"",2020-03-25,0,6,30,-14,-4,3,愛知
JP,Japan,Aichi,"",2020-03-26,1,10,39,-15,-5,3,愛知
JP,Japan,Aichi,"",2020-03-27,-12,-3,-33,-21,-7,7,愛知
JP,Japan,Aichi,"",2020-03-28,-13,3,-11,-32,-5,6,愛知
JP,Japan,Aichi,"",2020-03-29,-14,1,-11,-35,-5,6,愛知
JP,Japan,Aichi,"",2020-03-30,-8,0,-13,-19,-6,5,愛知
JP,Japan,Aichi,"",2020-03-31,-5,4,-2,-20,-6,5,愛知
JP,Japan,Aichi,"",2020-04-01,-16,-5,-22,-21,-6,6,愛知
JP,Japan,Aichi,"",2020-04-02,-9,6,30,-22,-7,5,愛知
JP,Japan,Aichi,"",2020-04-03,-12,5,48,-24,-8,6,愛知
JP,Japan,Aichi,"",2020-04-04,-14,8,53,-38,-10,7,愛知
JP,Japan,Aichi,"",2020-04-05,-19,5,19,-43,-10,7,愛知
JP,Japan,Aichi,"",2020-04-06,-9,6,29,-21,-10,6,愛知
JP,Japan,Aichi,"",2020-04-07,-11,5,33,-25,-10,6,愛知
JP,Japan,Aichi,"",2020-04-08,-17,3,28,-29,-10,7,愛知
JP,Japan,Aichi,"",2020-04-09,-14,6,22,-30,-10,7,愛知
JP,Japan,Aichi,"",2020-04-10,-21,5,1,-35,-12,9,愛知
JP,Japan,Aichi,"",2020-04-11,-28,4,7,-52,-20,12,愛知
JP,Japan,Akita,"",2020-02-15,5,5,38,7,6,-1,秋田
JP,Japan,Akita,"",2020-02-16,-2,0,-10,-5,0,2,秋田
JP,Japan,Akita,"",2020-02-17,0,-1,1,3,0,1,秋田
JP,Japan,Akita,"",2020-02-18,-2,-1,-8,-9,0,2,秋田
JP,Japan,Akita,"",2020-02-19,2,4,5,0,0,0,秋田
JP,Japan,Akita,"",2020-02-20,6,7,8,4,2,0,秋田
JP,Japan,Akita,"",2020-02-21,1,-1,2,-1,1,1,秋田
JP,Japan,Akita,"",2020-02-22,2,4,-1,0,-2,1,秋田
JP,Japan,Akita,"",2020-02-23,-1,-2,-25,-10,-1,1,秋田
JP,Japan,Akita,"",2020-02-24,24,1,15,2,-53,14,秋田
JP,Japan,Akita,"",2020-02-25,6,8,3,-1,1,0,秋田
JP,Japan,Akita,"",2020-02-26,6,7,17,3,1,0,秋田
JP,Japan,Akita,"",2020-02-27,3,6,5,-1,2,1,秋田
JP,Japan,Akita,"",2020-02-28,2,6,-3,-17,3,1,秋田
JP,Japan,Akita,"",2020-02-29,2,14,2,-22,9,1,秋田
JP,Japan,Akita,"",2020-03-01,-4,11,-20,-26,5,3,秋田
JP,Japan,Akita,"",2020-03-02,-3,3,0,-23,-1,3,秋田
JP,Japan,Akita,"",2020-03-03,2,7,-1,-27,0,3,秋田
JP,Japan,Akita,"",2020-03-04,-2,5,8,-20,-1,3,秋田
JP,Japan,Akita,"",2020-03-05,-8,-2,-15,-26,-1,4,秋田
JP,Japan,Akita,"",2020-03-06,-7,-3,-7,-27,-1,4,秋田
JP,Japan,Akita,"",2020-03-07,-5,4,22,-22,1,3,秋田
JP,Japan,Akita,"",2020-03-08,-5,3,35,-21,0,3,秋田
JP,Japan,Akita,"",2020-03-09,-2,-1,37,-13,-3,3,秋田
JP,Japan,Akita,"",2020-03-10,-1,4,-9,-23,-2,4,秋田
JP,Japan,Akita,"",2020-03-11,-2,2,-3,-22,-2,3,秋田
JP,Japan,Akita,"",2020-03-12,4,6,13,-17,-1,3,秋田
JP,Japan,Akita,"",2020-03-13,-5,-3,-6,-27,-2,5,秋田
JP,Japan,Akita,"",2020-03-14,2,6,15,-19,-5,3,秋田
JP,Japan,Akita,"",2020-03-15,0,6,20,-16,-1,3,秋田
JP,Japan,Akita,"",2020-03-16,-2,-1,4,-17,-3,3,秋田
JP,Japan,Akita,"",2020-03-17,2,0,-3,-20,-2,3,秋田
JP,Japan,Akita,"",2020-03-18,4,4,17,-13,-1,2,秋田
JP,Japan,Akita,"",2020-03-19,15,11,39,-2,-1,1,秋田
JP,Japan,Akita,"",2020-03-20,9,0,-15,-27,-52,18,秋田
JP,Japan,Akita,"",2020-03-21,-1,2,0,-13,-6,3,秋田
JP,Japan,Akita,"",2020-03-22,-5,-2,-27,-16,-2,3,秋田
JP,Japan,Akita,"",2020-03-23,3,0,24,-10,-3,2,秋田
JP,Japan,Akita,"",2020-03-24,7,2,7,-15,-2,3,秋田
JP,Japan,Akita,"",2020-03-25,12,9,32,-6,-2,1,秋田
JP,Japan,Akita,"",2020-03-26,10,8,23,-11,-2,2,秋田
JP,Japan,Akita,"",2020-03-27,3,0,4,-19,-2,3,秋田
JP,Japan,Akita,"",2020-03-28,3,7,23,-16,-3,3,秋田
JP,Japan,Akita,"",2020-03-29,-1,5,19,-20,0,3,秋田
JP,Japan,Akita,"",2020-03-30,8,2,33,-11,-5,3,秋田
JP,Japan,Akita,"",2020-03-31,6,5,29,-17,-4,3,秋田
JP,Japan,Akita,"",2020-04-01,-4,5,3,-20,-5,3,秋田
JP,Japan,Akita,"",2020-04-02,-6,2,1,-21,-6,5,秋田
JP,Japan,Akita,"",2020-04-03,-7,-1,19,-25,-6,5,秋田
JP,Japan,Akita,"",2020-04-04,-7,6,37,-26,-6,5,秋田
JP,Japan,Akita,"",2020-04-05,-14,2,-23,-38,-6,7,秋田
JP,Japan,Akita,"",2020-04-06,-11,-3,-3,-20,-6,5,秋田
JP,Japan,Akita,"",2020-04-07,1,6,23,-22,-10,4,秋田
JP,Japan,Akita,"",2020-04-08,-4,4,23,-19,-8,3,秋田
JP,Japan,Akita,"",2020-04-09,-9,1,7,-23,-6,4,秋田
JP,Japan,Akita,"",2020-04-10,-11,3,-4,-30,-7,5,秋田
JP,Japan,Akita,"",2020-04-11,-10,6,52,-30,-14,7,秋田
JP,Japan,Aomori,"",2020-02-15,1,2,10,-4,5,-1,青森
JP,Japan,Aomori,"",2020-02-16,-9,-3,-19,-14,-2,2,青森
JP,Japan,Aomori,"",2020-02-17,0,-1,1,-5,-1,1,青森
JP,Japan,Aomori,"",2020-02-18,1,-1,-1,-2,0,1,青森
JP,Japan,Aomori,"",2020-02-19,2,5,10,2,1,0,青森
JP,Japan,Aomori,"",2020-02-20,6,5,3,0,0,0,青森
JP,Japan,Aomori,"",2020-02-21,1,-1,-2,-2,1,1,青森
JP,Japan,Aomori,"",2020-02-22,1,2,2,2,1,0,青森
JP,Japan,Aomori,"",2020-02-23,-2,-2,-21,-10,-1,1,青森
JP,Japan,Aomori,"",2020-02-24,27,3,-5,-6,-51,14,青森
JP,Japan,Aomori,"",2020-02-25,6,6,0,1,1,0,青森
JP,Japan,Aomori,"",2020-02-26,4,7,9,1,2,0,青森
JP,Japan,Aomori,"",2020-02-27,1,5,2,-4,1,1,青森
JP,Japan,Aomori,"",2020-02-28,1,9,-6,-13,2,1,青森
JP,Japan,Aomori,"",2020-02-29,-2,14,-8,-18,8,1,青森
JP,Japan,Aomori,"",2020-03-01,-8,9,-16,-24,4,3,青森
JP,Japan,Aomori,"",2020-03-02,-5,1,-9,-20,-1,3,青森
JP,Japan,Aomori,"",2020-03-03,0,7,-5,-19,-2,3,青森
JP,Japan,Aomori,"",2020-03-04,2,7,17,-15,-1,2,青森
JP,Japan,Aomori,"",2020-03-05,-5,1,-2,-19,-2,4,青森
JP,Japan,Aomori,"",2020-03-06,-7,-3,-7,-23,-2,4,青森
JP,Japan,Aomori,"",2020-03-07,-6,2,5,-20,-1,3,青森
JP,Japan,Aomori,"",2020-03-08,-7,1,26,-15,-2,3,青森
JP,Japan,Aomori,"",2020-03-09,-2,-3,15,-16,-2,3,青森
JP,Japan,Aomori,"",2020-03-10,1,2,-6,-20,-3,3,青森
JP,Japan,Aomori,"",2020-03-11,4,5,7,-14,-3,3,青森
JP,Japan,Aomori,"",2020-03-12,5,5,8,-14,-3,3,青森
JP,Japan,Aomori,"",2020-03-13,-2,-2,-13,-22,-4,4,青森
JP,Japan,Aomori,"",2020-03-14,0,3,1,-16,-4,3,青森
JP,Japan,Aomori,"",2020-03-15,-5,3,-2,-17,-2,3,青森
JP,Japan,Aomori,"",2020-03-16,-4,-1,-17,-20,-3,4,青森
JP,Japan,Aomori,"",2020-03-17,5,3,5,-12,-2,2,青森
JP,Japan,Aomori,"",2020-03-18,7,6,19,-11,-1,1,青森
JP,Japan,Aomori,"",2020-03-19,15,8,25,-4,-4,0,青森
JP,Japan,Aomori,"",2020-03-20,10,0,-17,-29,-50,17,青森
JP,Japan,Aomori,"",2020-03-21,-2,2,2,-12,-4,3,青森
JP,Japan,Aomori,"",2020-03-22,-5,0,0,-9,-2,2,青森
JP,Japan,Aomori,"",2020-03-23,1,-1,11,-13,-2,2,青森
JP,Japan,Aomori,"",2020-03-24,5,3,8,-14,-3,3,青森
JP,Japan,Aomori,"",2020-03-25,12,12,26,-9,-3,1,青森
JP,Japan,Aomori,"",2020-03-26,4,7,14,-13,-4,3,青森
JP,Japan,Aomori,"",2020-03-27,-2,3,9,-20,-4,4,青森
JP,Japan,Aomori,"",2020-03-28,-4,3,8,-19,-3,3,青森
JP,Japan,Aomori,"",2020-03-29,-11,1,11,-20,0,3,青森
JP,Japan,Aomori,"",2020-03-30,3,-1,20,-16,-5,3,青森
JP,Japan,Aomori,"",2020-03-31,4,5,22,-16,-5,3,青森
JP,Japan,Aomori,"",2020-04-01,-4,6,9,-19,-5,3,青森
JP,Japan,Aomori,"",2020-04-02,-7,2,-7,-24,-8,5,青森
JP,Japan,Aomori,"",2020-04-03,-11,1,8,-27,-7,5,青森
JP,Japan,Aomori,"",2020-04-04,-15,4,19,-25,-6,5,青森
JP,Japan,Aomori,"",2020-04-05,-21,2,-12,-35,-8,6,青森
JP,Japan,Aomori,"",2020-04-06,-13,-3,-13,-25,-8,5,青森
JP,Japan,Aomori,"",2020-04-07,-2,5,17,-20,-12,4,青森
JP,Japan,Aomori,"",2020-04-08,-9,5,20,-19,-7,3,青森
JP,Japan,Aomori,"",2020-04-09,-14,1,-2,-24,-7,5,青森
JP,Japan,Aomori,"",2020-04-10,-17,2,-5,-29,-6,5,青森
JP,Japan,Aomori,"",2020-04-11,-19,2,2,-33,-13,7,青森
JP,Japan,Chiba,"",2020-02-15,-3,3,9,0,4,0,千葉
JP,Japan,Chiba,"",2020-02-16,-12,-8,-41,-13,-1,3,千葉
JP,Japan,Chiba,"",2020-02-17,-3,1,-1,-2,1,1,千葉
JP,Japan,Chiba,"",2020-02-18,3,3,9,-3,0,1,千葉
JP,Japan,Chiba,"",2020-02-19,-1,3,17,-3,0,0,千葉
JP,Japan,Chiba,"",2020-02-20,0,3,1,-3,0,1,千葉
JP,Japan,Chiba,"",2020-02-21,-2,2,9,-5,0,1,千葉
JP,Japan,Chiba,"",2020-02-22,-6,1,-7,-5,0,2,千葉
JP,Japan,Chiba,"",2020-02-23,0,7,33,-2,1,0,千葉
JP,Japan,Chiba,"",2020-02-24,24,6,69,-34,-58,17,千葉
JP,Japan,Chiba,"",2020-02-25,-1,7,1,-4,1,1,千葉
JP,Japan,Chiba,"",2020-02-26,-8,3,-13,-7,0,2,千葉
JP,Japan,Chiba,"",2020-02-27,-4,7,-2,-7,0,2,千葉
JP,Japan,Chiba,"",2020-02-28,-1,18,3,-11,0,2,千葉
JP,Japan,Chiba,"",2020-02-29,-11,10,-5,-21,3,4,千葉
JP,Japan,Chiba,"",2020-03-01,-12,10,24,-27,0,4,千葉
JP,Japan,Chiba,"",2020-03-02,-18,-3,-39,-19,-4,5,千葉
JP,Japan,Chiba,"",2020-03-03,-3,9,26,-16,-3,4,千葉
JP,Japan,Chiba,"",2020-03-04,-17,-4,-26,-21,-6,7,千葉
JP,Japan,Chiba,"",2020-03-05,-10,3,-3,-19,-5,6,千葉
JP,Japan,Chiba,"",2020-03-06,-10,4,17,-19,-5,5,千葉
JP,Japan,Chiba,"",2020-03-07,-14,1,-17,-26,-4,6,千葉
JP,Japan,Chiba,"",2020-03-08,-20,-6,-50,-36,-7,7,千葉
JP,Japan,Chiba,"",2020-03-09,-10,2,10,-18,-5,5,千葉
JP,Japan,Chiba,"",2020-03-10,-12,-5,-33,-20,-7,7,千葉
JP,Japan,Chiba,"",2020-03-11,-5,7,44,-18,-6,4,千葉
JP,Japan,Chiba,"",2020-03-12,-4,5,27,-18,-6,5,千葉
JP,Japan,Chiba,"",2020-03-13,-7,6,26,-18,-6,5,千葉
JP,Japan,Chiba,"",2020-03-14,-23,-12,-55,-33,-9,8,千葉
JP,Japan,Chiba,"",2020-03-15,-7,11,36,-24,-2,4,千葉
JP,Japan,Chiba,"",2020-03-16,-9,1,2,-17,-4,5,千葉
JP,Japan,Chiba,"",2020-03-17,-2,5,22,-18,-5,4,千葉
JP,Japan,Chiba,"",2020-03-18,-4,6,45,-15,-5,4,千葉
JP,Japan,Chiba,"",2020-03-19,1,6,22,-14,-6,3,千葉
JP,Japan,Chiba,"",2020-03-20,13,11,65,-40,-58,19,千葉
JP,Japan,Chiba,"",2020-03-21,-8,7,49,-19,-7,3,千葉
JP,Japan,Chiba,"",2020-03-22,-10,5,46,-22,-4,3,千葉
JP,Japan,Chiba,"",2020-03-23,-9,-1,7,-17,-4,4,千葉
JP,Japan,Chiba,"",2020-03-24,-3,3,23,-17,-5,5,千葉
JP,Japan,Chiba,"",2020-03-25,-1,10,65,-15,-6,3,千葉
JP,Japan,Chiba,"",2020-03-26,1,18,54,-16,-7,4,千葉
JP,Japan,Chiba,"",2020-03-27,-9,10,19,-23,-9,7,千葉
JP,Japan,Chiba,"",2020-03-28,-22,1,-22,-39,-10,9,千葉
JP,Japan,Chiba,"",2020-03-29,-43,-21,-61,-53,-15,11,千葉
JP,Japan,Chiba,"",2020-03-30,-10,6,9,-25,-10,7,千葉
JP,Japan,Chiba,"",2020-03-31,-7,7,15,-25,-9,7,千葉
JP,Japan,Chiba,"",2020-04-01,-25,-7,-36,-29,-13,9,千葉
JP,Japan,Chiba,"",2020-04-02,-14,7,15,-28,-14,9,千葉
JP,Japan,Chiba,"",2020-04-03,-15,9,40,-30,-14,9,千葉
JP,Japan,Chiba,"",2020-04-04,-27,6,28,-44,-16,10,千葉
JP,Japan,Chiba,"",2020-04-05,-35,-1,-14,-53,-18,10,千葉
JP,Japan,Chiba,"",2020-04-06,-16,10,25,-28,-13,8,千葉
JP,Japan,Chiba,"",2020-04-07,-13,7,19,-32,-18,10,千葉
JP,Japan,Chiba,"",2020-04-08,-27,3,36,-41,-23,13,千葉
JP,Japan,Chiba,"",2020-04-09,-28,1,18,-43,-26,15,千葉
JP,Japan,Chiba,"",2020-04-10,-30,5,15,-45,-26,16,千葉
JP,Japan,Chiba,"",2020-04-11,-34,3,17,-53,-26,13,千葉
JP,Japan,Ehime,"",2020-02-15,-4,3,-3,-1,2,1,愛媛
JP,Japan,Ehime,"",2020-02-16,-7,-3,-37,-13,-1,3,愛媛
JP,Japan,Ehime,"",2020-02-17,-3,0,-18,-4,1,2,愛媛
JP,Japan,Ehime,"",2020-02-18,-2,0,4,0,0,1,愛媛
JP,Japan,Ehime,"",2020-02-19,1,0,6,1,0,0,愛媛
JP,Japan,Ehime,"",2020-02-20,1,3,7,5,1,0,愛媛
JP,Japan,Ehime,"",2020-02-21,0,0,8,5,1,1,愛媛
JP,Japan,Ehime,"",2020-02-22,-2,1,-23,0,-2,2,愛媛
JP,Japan,Ehime,"",2020-02-23,5,5,48,24,1,-1,愛媛
JP,Japan,Ehime,"",2020-02-24,26,5,84,18,-49,11,愛媛
JP,Japan,Ehime,"",2020-02-25,2,5,12,4,2,0,愛媛
JP,Japan,Ehime,"",2020-02-26,2,3,2,2,1,0,愛媛
JP,Japan,Ehime,"",2020-02-27,2,5,4,-1,1,1,愛媛
JP,Japan,Ehime,"",2020-02-28,0,9,-5,-7,2,1,愛媛
JP,Japan,Ehime,"",2020-02-29,-9,8,-48,-24,5,4,愛媛
JP,Japan,Ehime,"",2020-03-01,-6,8,-17,-19,7,3,愛媛
JP,Japan,Ehime,"",2020-03-02,-2,9,-1,-15,1,2,愛媛
JP,Japan,Ehime,"",2020-03-03,-3,6,16,-11,0,2,愛媛
JP,Japan,Ehime,"",2020-03-04,-10,-1,-28,-19,-3,4,愛媛
JP,Japan,Ehime,"",2020-03-05,-7,4,-2,-16,-2,3,愛媛
JP,Japan,Ehime,"",2020-03-06,-9,0,10,-16,-2,4,愛媛
JP,Japan,Ehime,"",2020-03-07,-14,1,-22,-28,-2,6,愛媛
JP,Japan,Ehime,"",2020-03-08,-11,1,-7,-25,-4,5,愛媛
JP,Japan,Ehime,"",2020-03-09,-6,1,16,-14,-1,3,愛媛
JP,Japan,Ehime,"",2020-03-10,-3,2,-11,-16,-2,4,愛媛
JP,Japan,Ehime,"",2020-03-11,-1,2,6,-12,-3,3,愛媛
JP,Japan,Ehime,"",2020-03-12,-2,3,20,-9,-2,2,愛媛
JP,Japan,Ehime,"",2020-03-13,-4,0,10,-14,-2,3,愛媛
JP,Japan,Ehime,"",2020-03-14,-7,3,-21,-22,-7,6,愛媛
JP,Japan,Ehime,"",2020-03-15,-7,2,8,-16,-3,4,愛媛
JP,Japan,Ehime,"",2020-03-16,-1,1,9,-14,-1,3,愛媛
JP,Japan,Ehime,"",2020-03-17,0,1,33,-8,-3,3,愛媛
JP,Japan,Ehime,"",2020-03-18,1,0,20,-8,-2,2,愛媛
JP,Japan,Ehime,"",2020-03-19,7,4,19,-2,-2,1,愛媛
JP,Japan,Ehime,"",2020-03-20,18,6,69,-1,-48,13,愛媛
JP,Japan,Ehime,"",2020-03-21,-5,5,35,0,-6,3,愛媛
JP,Japan,Ehime,"",2020-03-22,-5,2,27,-6,-2,3,愛媛
JP,Japan,Ehime,"",2020-03-23,3,2,32,-6,-1,2,愛媛
JP,Japan,Ehime,"",2020-03-24,5,2,40,-7,-3,2,愛媛
JP,Japan,Ehime,"",2020-03-25,7,3,29,-5,-2,1,愛媛
JP,Japan,Ehime,"",2020-03-26,2,5,10,-7,-2,2,愛媛
JP,Japan,Ehime,"",2020-03-27,-5,-2,-31,-16,-4,5,愛媛
JP,Japan,Ehime,"",2020-03-28,-11,0,-38,-24,-4,6,愛媛
JP,Japan,Ehime,"",2020-03-29,-5,5,29,-12,0,3,愛媛
JP,Japan,Ehime,"",2020-03-30,0,2,2,-13,-3,3,愛媛
JP,Japan,Ehime,"",2020-03-31,0,4,21,-11,-3,3,愛媛
JP,Japan,Ehime,"",2020-04-01,-11,-5,-30,-23,-7,5,愛媛
JP,Japan,Ehime,"",2020-04-02,-5,5,40,-13,-6,3,愛媛
JP,Japan,Ehime,"",2020-04-03,-12,2,35,-18,-7,5,愛媛
JP,Japan,Ehime,"",2020-04-04,-16,7,41,-21,-6,6,愛媛
JP,Japan,Ehime,"",2020-04-05,-18,4,58,-24,-6,6,愛媛
JP,Japan,Ehime,"",2020-04-06,-9,3,45,-18,-5,4,愛媛
JP,Japan,Ehime,"",2020-04-07,-10,3,50,-20,-7,4,愛媛
JP,Japan,Ehime,"",2020-04-08,-11,1,28,-20,-9,5,愛媛
JP,Japan,Ehime,"",2020-04-09,-14,1,29,-22,-8,5,愛媛
JP,Japan,Ehime,"",2020-04-10,-16,2,23,-26,-7,5,愛媛
JP,Japan,Ehime,"",2020-04-11,-21,5,15,-35,-13,8,愛媛
JP,Japan,Fukui,"",2020-02-15,2,3,26,6,7,-1,福井
JP,Japan,Fukui,"",2020-02-16,-7,-1,-35,-6,-2,2,福井
JP,Japan,Fukui,"",2020-02-17,-2,1,-1,6,1,1,福井
JP,Japan,Fukui,"",2020-02-18,-5,-1,-2,0,0,1,福井
JP,Japan,Fukui,"",2020-02-19,3,5,18,4,1,0,福井
JP,Japan,Fukui,"",2020-02-20,4,4,18,4,1,0,福井
JP,Japan,Fukui,"",2020-02-21,2,5,15,8,1,0,福井
JP,Japan,Fukui,"",2020-02-22,-1,3,-7,5,-3,1,福井
JP,Japan,Fukui,"",2020-02-23,3,5,-14,19,0,0,福井
JP,Japan,Fukui,"",2020-02-24,31,13,91,24,-56,14,福井
JP,Japan,Fukui,"",2020-02-25,-1,5,-2,2,1,0,福井
