date,検査数,相談件数,陽性数,検査数累計,相談件数累計,陽性数累計
2020-08-19,54,262,1,6555,58244,187
2020-08-20,59,215,2,6614,58459,189
2020-08-21,49,206,2,6663,58665,191
2020-08-22,59,201,0,6722,58866,191
2020-08-23,25,174,1,6747,59040,192
2020-08-24,22,299,0,6769,59339,192
2020-08-25,48,178,0,6817,59517,192
2020-08-26,40,228,0,6857,59745,192
2020-08-27,35,216,1,6892,59961,193
2020-08-28,52,211,5,6944,60172,198
2020-08-29,47,193,5,6991,60365,203
2020-08-30,37,199,1,7028,60564,204
2020-08-31,116,300,3,7144,60864,207
2020-09-01,66,249,3,7210,61113,210
2020-09-02,56,257,4,7266,61370,214
2020-09-03,85,259,12,7351,61629,226
2020-09-04,62,256,5,7413,61885,231
2020-09-05,81,200,8,7494,62085,239
2020-09-06,54,206,3,7548,62291,242
2020-09-07,56,313,7,7604,62604,249
2020-09-08,75,266,7,7679,62870,256
2020-09-09,109,224,11,7788,63094,267
2020-09-10,125,247,8,7913,63341,275
2020-09-11,68,257,15,7981,63598,290
2020-09-12,106,229,12,8087,63827,302
2020-09-13,70,191,8,8157,64018,310
2020-09-14,37,284,3,8194,64302,313
2020-09-15,143,257,18,8337,64559,331
2020-09-16,93,238,6,8430,64797,337
2020-09-17,118,270,9,8548,65067,346
2020-09-18,151,238,5,8699,65305,351
2020-09-19,180,228,14,8879,65533,365
2020-09-20,48,239,2,8927,65772,367
2020-09-21,56,237,2,8983,66009,369
2020-09-22,45,230,3,9028,66239,372
2020-09-23,36,300,3,9064,66539,375
2020-09-24,79,247,8,9143,66786,383
2020-09-25,75,244,2,9218,67030,385
2020-09-26,60,211,4,9278,67241,389
2020-09-27,87,206,3,9365,67447,392
2020-09-28,24,284,5,9389,67731,397
2020-09-29,82,221,2,9471,67952,399
2020-09-30,100,252,7,9571,68204,406
2020-10-01,68,248,7,9639,68452,413
2020-10-02,123,227,5,9762,68679,418
2020-10-03,204,210,7,9966,68889,425
2020-10-04,102,223,3,10068,69112,428
2020-10-05,65,367,5,10133,69479,433
2020-10-06,97,221,8,10230,69700,441
2020-10-07,85,291,12,10315,69991,453
2020-10-08,59,248,8,10374,70239,461
2020-10-09,70,258,13,10444,70497,474
2020-10-10,123,214,10,10567,70711,484
2020-10-11,90,178,2,10657,70889,486
2020-10-12,85,298,5,10742,71187,491
2020-10-13,113,253,8,10855,71440,499
2020-10-14,245,277,5,11100,71717,504
2020-10-15,122,242,4,11222,71959,508
2020-10-16,84,225,14,11306,72184,522
2020-10-17,91,226,2,11397,72410,524
2020-10-18,42,174,2,11439,72584,526
2020-10-19,81,316,3,11520,72900,529
2020-10-20,104,253,9,11624,73153,538
2020-10-21,106,233,6,11730,73386,544
2020-10-22,210,258,1,11940,73644,545
2020-10-23,233,245,20,12173,73889,565
2020-10-24,207,195,7,12380,74084,572
2020-10-25,60,185,30,12440,74269,602
2020-10-26,31,314,8,12471,74583,610
2020-10-27,132,272,45,12603,74855,655
2020-10-28,201,237,24,12804,75092,679
2020-10-29,163,239,10,12967,75331,689
2020-10-30,106,254,11,13073,75585,700
2020-10-31,187,173,26,13260,75758,726
2020-11-01,88,163,16,13348,75921,742
2020-11-02,115,377,30,13463,76298,772
2020-11-03,158,232,16,13621,76530,788
2020-11-04,74,289,16,13695,76819,804
2020-11-05,182,225,18,13877,77044,822
2020-11-06,168,231,13,14045,77275,835
2020-11-07,115,225,18,14160,77500,853
2020-11-08,145,208,13,14305,77708,866
2020-11-09,85,297,7,14390,78005,873
2020-11-10,136,234,20,14526,78239,893
2020-11-11,221,273,33,14747,78512,926
2020-11-12,146,286,18,14893,78798,944
2020-11-13,225,277,30,15118,79075,974
2020-11-14,160,262,10,15278,79337,984
2020-11-15,74,187,5,15352,79524,989
2020-11-16,192,303,7,15544,79827,996
2020-11-17,264,264,32,15808,80091,1028
2020-11-18,186,291,19,15994,80382,1047
2020-11-19,346,276,15,16340,80658,1062
2020-11-20,335,253,14,16675,80911,1076
2020-11-21,266,249,16,16941,81160,1092
2020-11-22,210,237,9,17151,81397,1101
2020-11-23,27,253,16,17178,81650,1117
2020-11-24,63,364,12,17241,82014,1129
2020-11-25,157,259,19,17398,82273,1148
2020-11-26,116,278,21,17514,82551,1169
2020-11-27,175,246,13,17689,82797,1182
2020-11-28,143,203,14,17832,83000,1196
2020-11-29,72,169,7,17904,83169,1203
2020-11-30,35,311,9,17939,83480,1212
2020-12-01,246,228,11,18185,83708,1223
2020-12-02,149,240,9,18334,83948,1232
2020-12-03,232,211,21,18566,84159,1253
2020-12-04,152,201,21,18718,84360,1274
2020-12-05,215,208,21,18933,84568,1295
2020-12-06,178,201,18,19111,84769,1313
2020-12-07,147,311,8,19258,85080,1321
2020-12-08,315,231,17,19573,85311,1338
2020-12-09,254,249,43,19827,85560,1381
2020-12-10,324,268,38,20151,85828,1419
2020-12-11,250,279,46,20401,86107,1465
2020-12-12,189,250,35,20590,86357,1500
2020-12-13,277,224,29,20867,86581,1529
2020-12-14,161,317,16,21028,86898,1545
2020-12-15,351,231,37,21379,87129,1582
2020-12-16,432,278,45,21811,87407,1627
2020-12-17,307,271,54,22118,87678,1681
2020-12-18,311,260,16,22429,87938,1697
2020-12-19,342,242,47,22771,88180,1744
2020-12-20,216,208,33,22987,88388,1777
2020-12-21,91,348,6,23078,88736,1783
2020-12-22,177,327,41,23255,89063,1824
2020-12-23,189,322,51,23444,89385,1875
2020-12-24,196,303,48,23640,89688,1923
2020-12-25,221,305,48,23861,89993,1971
2020-12-26,229,324,56,24090,90317,2027
2020-12-27,84,319,39,24174,90636,2066
2020-12-28,100,387,28,24274,91023,2094
2020-12-29,191,349,39,24465,91372,2133
2020-12-30,106,353,34,24571,91725,2167
2020-12-31,254,268,26,24825,91993,2193
2021-01-01,40,262,30,24865,92255,2223
2021-01-02,13,315,4,24878,92570,2227
2021-01-03,152,330,20,25030,92900,2247
2021-01-04,181,428,18,25211,93328,2265
2021-01-05,142,311,37,25353,93639,2302
2021-01-06,148,362,52,25501,94001,2354
2021-01-07,163,352,75,25664,94353,2429
2021-01-08,326,378,61,25990,94731,2490
2021-01-09,369,0,72,26359,94731,2562
2021-01-10,108,0,63,26467,94731,2625
2021-01-11,0,0,31,26467,94731,2656
2021-01-12,0,0,10,26467,94731,2666
2021-01-13,0,0,62,26467,94731,2728
2021-01-14,0,0,87,26467,94731,2815
2021-01-15,0,0,21,26467,94731,2836
2021-01-16,0,0,75,26467,94731,2911
2021-01-17,0,0,40,26467,94731,2951
2021-01-18,0,0,35,26467,94731,2986
2021-01-19,0,0,33,26467,94731,3019
