date,source,target,value
2020-02-20,"PCR検査陽性
100.00%","無症状
14.29%",10
2020-02-20,"PCR検査陽性
100.00%","有症状
85.71%",60
2020-02-20,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-20,"有症状
85.71%","退院
22.86%",16
2020-02-20,"有症状
85.71%","入院治療必要
75.71%",53
2020-02-20,"有症状
85.71%","死亡者
1.43%",1
2020-02-20,"有症状
85.71%","入院待機中
%",0
2020-02-20,"入院治療必要
75.71%","軽〜中等症の者
48.57%",34
2020-02-20,"入院治療必要
75.71%","人工呼吸又は
ICUに入院
10%",7
2020-02-20,"入院治療必要
75.71%","確認中
17.14%",12
2020-02-21,"PCR検査陽性
100.00%","無症状
12.66%",10
2020-02-21,"PCR検査陽性
100.00%","有症状
87.34%",69
2020-02-21,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-21,"有症状
87.34%","退院
20.25%",16
2020-02-21,"有症状
87.34%","入院治療必要
78.48%",62
2020-02-21,"有症状
87.34%","死亡者
1.27%",1
2020-02-21,"有症状
87.34%","入院待機中
%",0
2020-02-21,"入院治療必要
78.48%","軽〜中等症の者
49.37%",39
2020-02-21,"入院治療必要
78.48%","人工呼吸又は
ICUに入院
11.39%",9
2020-02-21,"入院治療必要
78.48%","確認中
17.72%",14
2020-02-22,"PCR検査陽性
100.00%","無症状
11.11%",10
2020-02-22,"PCR検査陽性
100.00%","有症状
88.89%",80
2020-02-22,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-22,"有症状
88.89%","退院
18.89%",17
2020-02-22,"有症状
88.89%","入院治療必要
80%",72
2020-02-22,"有症状
88.89%","死亡者
1.11%",1
2020-02-22,"有症状
88.89%","入院待機中
%",0
2020-02-22,"入院治療必要
80%","軽〜中等症の者
46.67%",42
2020-02-22,"入院治療必要
80%","人工呼吸又は
ICUに入院
11.11%",10
2020-02-22,"入院治療必要
80%","確認中
22.22%",20
2020-02-23,"PCR検査陽性
100.00%","無症状
10.53%",12
2020-02-23,"PCR検査陽性
100.00%","有症状
89.47%",102
2020-02-23,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-23,"有症状
89.47%","退院
14.91%",17
2020-02-23,"有症状
89.47%","入院治療必要
84.21%",96
2020-02-23,"有症状
89.47%","死亡者
0.88%",1
2020-02-23,"有症状
89.47%","入院待機中
%",0
2020-02-23,"入院治療必要
84.21%","軽〜中等症の者
47.37%",54
2020-02-23,"入院治療必要
84.21%","人工呼吸又は
ICUに入院
9.65%",11
2020-02-23,"入院治療必要
84.21%","確認中
27.19%",31
2020-02-24,"PCR検査陽性
100.00%","無症状
9.52%",12
2020-02-24,"PCR検査陽性
100.00%","有症状
90.48%",114
2020-02-24,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-24,"有症状
90.48%","退院
13.49%",17
2020-02-24,"有症状
90.48%","入院治療必要
85.71%",108
2020-02-24,"有症状
90.48%","死亡者
0.79%",1
2020-02-24,"有症状
90.48%","入院待機中
%",0
2020-02-24,"入院治療必要
85.71%","軽〜中等症の者
50.79%",64
2020-02-24,"入院治療必要
85.71%","人工呼吸又は
ICUに入院
10.32%",13
2020-02-24,"入院治療必要
85.71%","確認中
24.6%",31
2020-02-25,"PCR検査陽性
100.00%","無症状
8.57%",12
2020-02-25,"PCR検査陽性
100.00%","有症状
91.43%",128
2020-02-25,"PCR検査陽性
100.00%","症状有無確認中
0.71%",1
2020-02-25,"有症状
91.43%","退院
12.86%",18
2020-02-25,"有症状
91.43%","入院治療必要
86.43%",121
2020-02-25,"有症状
91.43%","死亡者
0.71%",1
2020-02-25,"有症状
91.43%","入院待機中
%",0
2020-02-25,"入院治療必要
86.43%","軽〜中等症の者
49.29%",69
2020-02-25,"入院治療必要
86.43%","人工呼吸又は
ICUに入院
10%",14
2020-02-25,"入院治療必要
86.43%","確認中
27.14%",38
2020-02-26,"PCR検査陽性
100.00%","無症状
8.72%",13
2020-02-26,"PCR検査陽性
100.00%","有症状
91.28%",136
2020-02-26,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-26,"有症状
91.28%","退院
15.44%",23
2020-02-26,"有症状
91.28%","入院治療必要
83.89%",125
2020-02-26,"有症状
91.28%","死亡者
0.67%",1
2020-02-26,"有症状
91.28%","入院待機中
%",0
2020-02-26,"入院治療必要
83.89%","軽〜中等症の者
50.34%",75
2020-02-26,"入院治療必要
83.89%","人工呼吸又は
ICUに入院
10.07%",15
2020-02-26,"入院治療必要
83.89%","確認中
23.49%",35
2020-02-27,"PCR検査陽性
100.00%","無症状
8.77%",15
2020-02-27,"PCR検査陽性
100.00%","有症状
91.23%",156
2020-02-27,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-27,"有症状
91.23%","退院
17.54%",30
2020-02-27,"有症状
91.23%","入院治療必要
80.7%",138
2020-02-27,"有症状
91.23%","死亡者
1.75%",3
2020-02-27,"有症状
91.23%","入院待機中
%",0
2020-02-27,"入院治療必要
80.7%","軽〜中等症の者
41.52%",71
2020-02-27,"入院治療必要
80.7%","人工呼吸又は
ICUに入院
9.36%",16
2020-02-27,"入院治療必要
80.7%","確認中
29.82%",51
2020-02-28,"PCR検査陽性
100.00%","無症状
7.69%",15
2020-02-28,"PCR検査陽性
100.00%","有症状
92.31%",180
2020-02-28,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-28,"有症状
92.31%","退院
15.38%",30
2020-02-28,"有症状
92.31%","入院治療必要
82.56%",161
2020-02-28,"有症状
92.31%","死亡者
2.05%",4
2020-02-28,"有症状
92.31%","入院待機中
%",0
2020-02-28,"入院治療必要
82.56%","軽〜中等症の者
43.08%",84
2020-02-28,"入院治療必要
82.56%","人工呼吸又は
ICUに入院
10.26%",20
2020-02-28,"入院治療必要
82.56%","確認中
29.23%",57
2020-02-29,"PCR検査陽性
100.00%","無症状
8.37%",18
2020-02-29,"PCR検査陽性
100.00%","有症状
91.63%",197
2020-02-29,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-02-29,"有症状
91.63%","退院
14.42%",31
2020-02-29,"有症状
91.63%","入院治療必要
81.86%",176
2020-02-29,"有症状
91.63%","死亡者
2.33%",5
2020-02-29,"有症状
91.63%","入院待機中
%",3
2020-02-29,"入院治療必要
81.86%","軽〜中等症の者
44.65%",96
2020-02-29,"入院治療必要
81.86%","人工呼吸又は
ICUに入院
10.23%",22
2020-02-29,"入院治療必要
81.86%","確認中
26.98%",58
2020-03-01,"PCR検査陽性
100.00%","無症状
8.04%",18
2020-03-01,"PCR検査陽性
100.00%","有症状
91.96%",206
2020-03-01,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-01,"有症状
91.96%","退院
13.84%",31
2020-03-01,"有症状
91.96%","入院治療必要
83.93%",188
2020-03-01,"有症状
91.96%","死亡者
2.23%",5
2020-03-01,"有症状
91.96%","入院待機中
%",5
2020-03-01,"入院治療必要
83.93%","軽〜中等症の者
46.43%",104
2020-03-01,"入院治療必要
83.93%","人工呼吸又は
ICUに入院
10.27%",23
2020-03-01,"入院治療必要
83.93%","確認中
25%",56
2020-03-02,"PCR検査陽性
100.00%","無症状
7.53%",18
2020-03-02,"PCR検査陽性
100.00%","有症状
92.47%",221
2020-03-02,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-02,"有症状
92.47%","退院
13.39%",32
2020-03-02,"有症状
92.47%","入院治療必要
84.1%",201
2020-03-02,"有症状
92.47%","死亡者
2.51%",6
2020-03-02,"有症状
92.47%","入院待機中
%",5
2020-03-02,"入院治療必要
84.1%","軽〜中等症の者
45.19%",108
2020-03-02,"入院治療必要
84.1%","人工呼吸又は
ICUに入院
9.62%",23
2020-03-02,"入院治療必要
84.1%","確認中
27.2%",65
2020-03-03,"PCR検査陽性
100.00%","無症状
9.09%",23
2020-03-03,"PCR検査陽性
100.00%","有症状
90.91%",230
2020-03-03,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-03,"有症状
90.91%","退院
13.83%",35
2020-03-03,"有症状
90.91%","入院治療必要
83.79%",212
2020-03-03,"有症状
90.91%","死亡者
2.37%",6
2020-03-03,"有症状
90.91%","入院待機中
%",11
2020-03-03,"入院治療必要
83.79%","軽〜中等症の者
44.27%",112
2020-03-03,"入院治療必要
83.79%","人工呼吸又は
ICUに入院
9.49%",24
2020-03-03,"入院治療必要
83.79%","確認中
25.69%",65
2020-03-04,"PCR検査陽性
100.00%","無症状
8.55%",23
2020-03-04,"PCR検査陽性
100.00%","有症状
91.45%",246
2020-03-04,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-04,"有症状
91.45%","退院
13.75%",37
2020-03-04,"有症状
91.45%","入院治療必要
84.01%",226
2020-03-04,"有症状
91.45%","死亡者
2.23%",6
2020-03-04,"有症状
91.45%","入院待機中
%",13
2020-03-04,"入院治療必要
84.01%","軽〜中等症の者
41.26%",111
2020-03-04,"入院治療必要
84.01%","人工呼吸又は
ICUに入院
8.92%",24
2020-03-04,"入院治療必要
84.01%","確認中
29%",78
2020-03-05,"PCR検査陽性
100.00%","無症状
8.61%",26
2020-03-05,"PCR検査陽性
100.00%","有症状
91.39%",276
2020-03-05,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-05,"有症状
91.39%","退院
12.58%",38
2020-03-05,"有症状
91.39%","入院治療必要
85.43%",258
2020-03-05,"有症状
91.39%","死亡者
1.99%",6
2020-03-05,"有症状
91.39%","入院待機中
%",14
2020-03-05,"入院治療必要
85.43%","軽〜中等症の者
38.08%",115
2020-03-05,"入院治療必要
85.43%","人工呼吸又は
ICUに入院
8.94%",27
2020-03-05,"入院治療必要
85.43%","確認中
33.77%",102
2020-03-06,"PCR検査陽性
100.00%","無症状
9.31%",31
2020-03-06,"PCR検査陽性
100.00%","有症状
90.69%",302
2020-03-06,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-06,"有症状
90.69%","退院
16.82%",56
2020-03-06,"有症状
90.69%","入院治療必要
81.38%",271
2020-03-06,"有症状
90.69%","死亡者
1.8%",6
2020-03-06,"有症状
90.69%","入院待機中
%",20
2020-03-06,"入院治療必要
81.38%","軽〜中等症の者
45.95%",153
2020-03-06,"入院治療必要
81.38%","人工呼吸又は
ICUに入院
9.01%",30
2020-03-06,"入院治療必要
81.38%","確認中
20.42%",68
2020-03-07,"PCR検査陽性
100.00%","無症状
9.44%",37
2020-03-07,"PCR検査陽性
100.00%","有症状
90.56%",355
2020-03-07,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-07,"有症状
90.56%","退院
16.07%",63
2020-03-07,"有症状
90.56%","入院治療必要
82.4%",323
2020-03-07,"有症状
90.56%","死亡者
1.53%",6
2020-03-07,"有症状
90.56%","入院待機中
%",13
2020-03-07,"入院治療必要
82.4%","軽〜中等症の者
51.02%",200
2020-03-07,"入院治療必要
82.4%","人工呼吸又は
ICUに入院
7.14%",28
2020-03-07,"入院治療必要
82.4%","確認中
20.92%",82
2020-03-08,"PCR検査陽性
100.00%","無症状
9.57%",42
2020-03-08,"PCR検査陽性
100.00%","有症状
90.43%",397
2020-03-08,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-08,"有症状
90.43%","退院
15.26%",67
2020-03-08,"有症状
90.43%","入院治療必要
83.37%",366
2020-03-08,"有症状
90.43%","死亡者
1.37%",6
2020-03-08,"有症状
90.43%","入院待機中
%",15
2020-03-08,"入院治療必要
83.37%","軽〜中等症の者
50.57%",222
2020-03-08,"入院治療必要
83.37%","人工呼吸又は
ICUに入院
6.15%",27
2020-03-08,"入院治療必要
83.37%","確認中
23.23%",102
2020-03-09,"PCR検査陽性
100.00%","無症状
9.53%",45
2020-03-09,"PCR検査陽性
100.00%","有症状
90.47%",427
2020-03-09,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-09,"有症状
90.47%","退院
18.64%",88
2020-03-09,"有症状
90.47%","入院治療必要
79.87%",377
2020-03-09,"有症状
90.47%","死亡者
1.48%",7
2020-03-09,"有症状
90.47%","入院待機中
%",12
2020-03-09,"入院治療必要
79.87%","軽〜中等症の者
44.7%",211
2020-03-09,"入院治療必要
79.87%","人工呼吸又は
ICUに入院
6.99%",33
2020-03-09,"入院治療必要
79.87%","確認中
25.64%",121
2020-03-10,"PCR検査陽性
100.00%","無症状
10.44%",52
2020-03-10,"PCR検査陽性
100.00%","有症状
89.56%",446
2020-03-10,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-10,"有症状
89.56%","退院
17.87%",89
2020-03-10,"有症状
89.56%","入院治療必要
80.32%",400
2020-03-10,"有症状
89.56%","死亡者
1.81%",9
2020-03-10,"有症状
89.56%","入院待機中
%",17
2020-03-10,"入院治療必要
80.32%","軽〜中等症の者
46.59%",232
2020-03-10,"入院治療必要
80.32%","人工呼吸又は
ICUに入院
6.22%",31
2020-03-10,"入院治療必要
80.32%","確認中
24.1%",120
2020-03-11,"PCR検査陽性
100.00%","無症状
10.87%",60
2020-03-11,"PCR検査陽性
100.00%","有症状
89.13%",492
2020-03-11,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-11,"有症状
89.13%","退院
18.66%",103
2020-03-11,"有症状
89.13%","入院治療必要
79.17%",437
2020-03-11,"有症状
89.13%","死亡者
2.17%",12
2020-03-11,"有症状
89.13%","入院待機中
%",16
2020-03-11,"入院治療必要
79.17%","軽〜中等症の者
42.39%",234
2020-03-11,"入院治療必要
79.17%","人工呼吸又は
ICUに入院
4.71%",26
2020-03-11,"入院治療必要
79.17%","確認中
29.17%",161
2020-03-12,"PCR検査陽性
100.00%","無症状
10.26%",62
2020-03-12,"PCR検査陽性
100.00%","有症状
89.74%",542
2020-03-12,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-12,"有症状
89.74%","退院
17.88%",108
2020-03-12,"有症状
89.74%","入院治療必要
79.64%",481
2020-03-12,"有症状
89.74%","死亡者
2.48%",15
2020-03-12,"有症状
89.74%","入院待機中
%",15
2020-03-12,"入院治療必要
79.64%","軽〜中等症の者
44.87%",271
2020-03-12,"入院治療必要
79.64%","人工呼吸又は
ICUに入院
4.8%",29
2020-03-12,"入院治療必要
79.64%","確認中
27.48%",166
2020-03-13,"PCR検査陽性
100.00%","無症状
10.32%",68
2020-03-13,"PCR検査陽性
100.00%","有症状
89.68%",591
2020-03-13,"PCR検査陽性
100.00%","症状有無確認中
0%",0
2020-03-13,"有症状
89.68%","退院
18.21%",120
2020-03-13,"有症状
89.68%","入院治療必要
78.91%",520
2020-03-13,"有症状
89.68%","死亡者
2.88%",19
2020-03-13,"有症状
89.68%","入院待機中
%",15
2020-03-13,"入院治療必要
78.91%","軽〜中等症の者
47.8%",315
2020-03-13,"入院治療必要
78.91%","人工呼吸又は
ICUに入院
4.86%",32
2020-03-13,"入院治療必要
78.91%","確認中
23.98%",158
2020-03-14,"PCR検査陽性
100.00%","無症状
9.87%",69
2020-03-14,"PCR検査陽性
100.00%","有症状
89.99%",629
2020-03-14,"PCR検査陽性
100.00%","症状有無確認中
0.14%",1
2020-03-14,"有症状
89.99%","退院
18.45%",129
2020-03-14,"有症状
89.99%","入院治療必要
78.4%",548
2020-03-14,"有症状
89.99%","死亡者
3%",21
2020-03-14,"有症状
89.99%","入院待機中
%",14
2020-03-14,"入院治療必要
78.4%","軽〜中等症の者
48.35%",338
2020-03-14,"入院治療必要
78.4%","人工呼吸又は
ICUに入院
5.01%",35
2020-03-14,"入院治療必要
78.4%","確認中
23.03%",161
2020-03-15,"PCR検査陽性
100.00%","無症状
9.71%",74
2020-03-15,"PCR検査陽性
100.00%","有症状
89.37%",681
2020-03-15,"PCR検査陽性
100.00%","症状有無確認中
0.92%",7
2020-03-15,"有症状
89.37%","退院
18.64%",142
2020-03-15,"有症状
89.37%","入院治療必要
77.56%",591
2020-03-15,"有症状
89.37%","死亡者
2.89%",22
2020-03-15,"有症状
89.37%","入院待機中
%",17
2020-03-15,"入院治療必要
77.56%","軽〜中等症の者
45.67%",348
2020-03-15,"入院治療必要
77.56%","人工呼吸又は
ICUに入院
4.72%",36
2020-03-15,"入院治療必要
77.56%","確認中
24.93%",190
2020-03-16,"PCR検査陽性
100.00%","無症状
9.32%",74
2020-03-16,"PCR検査陽性
100.00%","有症状
88.41%",702
2020-03-16,"PCR検査陽性
100.00%","症状有無確認中
2.27%",18
2020-03-16,"有症状
88.41%","退院
18.77%",149
2020-03-16,"有症状
88.41%","入院治療必要
75.94%",603
2020-03-16,"有症状
88.41%","死亡者
3.02%",24
2020-03-16,"有症状
88.41%","入院待機中
%",20
2020-03-16,"入院治療必要
75.94%","軽〜中等症の者
43.83%",348
2020-03-16,"入院治療必要
75.94%","人工呼吸又は
ICUに入院
5.16%",41
2020-03-16,"入院治療必要
75.94%","確認中
24.43%",194
2020-03-17,"PCR検査陽性
100.00%","無症状
10.88%",88
2020-03-17,"PCR検査陽性
100.00%","有症状
88.63%",717
2020-03-17,"PCR検査陽性
100.00%","症状有無確認中
0.49%",4
2020-03-17,"有症状
88.63%","退院
19.28%",156
2020-03-17,"有症状
88.63%","入院治療必要
76.76%",621
2020-03-17,"有症状
88.63%","死亡者
3.46%",28
2020-03-17,"有症状
88.63%","入院待機中
%",16
2020-03-17,"入院治療必要
76.76%","軽〜中等症の者
46.6%",377
2020-03-17,"入院治療必要
76.76%","人工呼吸又は
ICUに入院
5.69%",46
2020-03-17,"入院治療必要
76.76%","確認中
22.5%",182
2020-03-18,"PCR検査陽性
100.00%","無症状
10.79%",92
2020-03-18,"PCR検査陽性
100.00%","有症状
88.86%",758
2020-03-18,"PCR検査陽性
100.00%","症状有無確認中
0.35%",3
2020-03-18,"有症状
88.86%","退院
20.63%",176
2020-03-18,"有症状
88.86%","入院治療必要
75.62%",645
2020-03-18,"有症状
88.86%","死亡者
3.4%",29
2020-03-18,"有症状
88.86%","入院待機中
%",14
2020-03-18,"入院治療必要
75.62%","軽〜中等症の者
46.66%",398
2020-03-18,"入院治療必要
75.62%","人工呼吸又は
ICUに入院
5.39%",46
2020-03-18,"入院治療必要
75.62%","確認中
21.92%",187
2020-03-19,"PCR検査陽性
100.00%","無症状
10.76%",96
2020-03-19,"PCR検査陽性
100.00%","有症状
89.01%",794
2020-03-19,"PCR検査陽性
100.00%","症状有無確認中
0.22%",2
2020-03-19,"有症状
89.01%","退院
22.42%",200
2020-03-19,"有症状
89.01%","入院治療必要
73.88%",659
2020-03-19,"有症状
89.01%","死亡者
3.48%",31
2020-03-19,"有症状
89.01%","入院待機中
%",15
2020-03-19,"入院治療必要
73.88%","軽〜中等症の者
47.09%",420
2020-03-19,"入院治療必要
73.88%","人工呼吸又は
ICUに入院
5.49%",49
2020-03-19,"入院治療必要
73.88%","確認中
19.62%",175
2020-03-20,"PCR検査陽性
100.00%","無症状
10.45%",97
2020-03-20,"PCR検査陽性
100.00%","有症状
89.33%",829
2020-03-20,"PCR検査陽性
100.00%","症状有無確認中
0.22%",2
2020-03-20,"有症状
89.33%","退院
22.84%",212
2020-03-20,"有症状
89.33%","入院治療必要
73.38%",681
2020-03-20,"有症状
89.33%","死亡者
3.56%",33
