date,call,fax,mail,line
20200624,1428,0,2,180
20200625,1377,0,1,180
20200626,1549,0,0,180
20200627,1549,0,1,180
20200628,1411,0,0,180
20200629,1799,0,2,180
20200630,1488,0,1,180
20200701,1749,0,1,180
20200702,1911,0,1,180
20200703,1957,0,0,180
20200704,1388,0,0,180
20200705,1672,0,1,180
20200706,1933,0,1,180
20200707,1602,1,0,180
20200708,1798,0,1,180
20200709,2079,0,0,180
20200710,2083,0,1,180
20200711,1599,0,1,180
20200712,1539,0,0,180
20200713,2260,0,0,180
20200714,2073,0,1,180
20200715,2158,0,0,180
20200716,2356,0,3,180
20200717,2264,1,0,180
20200718,2221,0,3,180
20200719,1914,0,0,180
20200720,2451,0,0,180
20200721,2293,0,0,180
20200722,2581,0,0,180
20200723,2710,0,0,180
20200724,2566,0,1,180
20200725,2687,0,1,180
20200726,2433,0,1,180
20200727,3209,0,1,180
20200728,2590,0,2,180
20200729,2586,0,2,180
20200730,2738,0,1,180
20200731,2674,0,2,180
20200801,2546,0,1,180
20200802,2115,0,0,180
20200803,2766,0,0,180
20200804,2316,0,1,180
20200805,2699,0,0,180
20200806,2046,0,3,180
20200807,2183,0,2,180
20200808,1919,0,1,180
20200809,1958,0,1,180
20200810,2026,0,1,180
20200811,1975,0,1,180
20200812,1787,0,1,180
20200813,1729,0,1,180
20200814,1803,0,1,180
20200815,1786,0,0,180
20200816,1657,0,0,180
20200817,2199,0,0,180
20200818,1901,0,1,180
20200819,1777,0,0,180
20200820,1721,0,0,180
20200821,1748,0,0,180
20200822,1564,0,0,180
20200823,1407,0,1,180
20200824,1988,0,2,180
20200825,1800,0,2,180
20200826,1770,0,1,180
20200827,1874,0,0,180
20200828,1708,0,1,180
20200829,1549,0,1,180
20200830,1638,0,0,180
20200831,1947,0,1,180
20200901,1595,0,1,180
20200902,1652,0,0,180
20200903,1513,0,0,180
20200904,1522,0,0,180
20200905,1205,0,1,180
20200906,1123,0,0,180
20200907,1472,0,0,180
20200908,1368,0,1,180
20200909,1402,0,0,180
20200910,1470,0,0,180
20200911,1603,0,2,180
20200912,1216,0,0,180
20200913,1101,0,1,180
20200914,1386,0,0,180
20200915,1334,0,0,180
20200916,1235,0,0,180
20200917,1191,0,0,180
20200918,1320,0,0,180
20200919,1075,0,0,180
20200920,987,0,0,180
20200921,1094,0,1,180
20200922,1115,0,0,180
20200923,1520,0,0,180
20200924,1343,0,0,180
20200925,1329,0,0,180
20200926,1228,0,0,180
20200927,1438,0,0,180
20200928,1966,0,0,180
20200929,2055,0,1,180
20200930,1792,0,1,180
20201001,1421,0,3,180
20201002,1593,0,0,180
20201003,1407,0,0,180
20201004,1261,0,0,180
20201005,1485,0,1,180
20201006,1443,0,1,180
20201007,1505,0,0,180
20201008,1456,0,0,180
20201009,1294,0,0,180
20201010,1033,0,0,180
20201011,1024,0,0,180
20201012,1494,0,2,180
20201013,1170,0,1,180
20201014,1149,0,0,180
20201015,1265,0,1,180
20201016,1327,0,0,180
20201017,1135,0,1,180
20201018,832,0,0,180
20201019,1340,0,0,180
20201020,1474,0,0,180
20201021,986,0,0,180
20201022,1280,0,0,180
20201023,1340,1,0,180
20201024,970,0,1,180
20201025,854,0,0,180
20201026,1491,0,0,180
20201027,1361,0,1,180
20201028,1295,0,2,180
20201029,1346,0,0,180
20201030,1298,0,0,180
20201031,1063,0,0,180
20201101,979,0,0,180
20201102,1901,0,0,180
20201103,1195,0,0,180
20201104,1563,0,0,180
20201105,1601,0,1,180
20201106,1469,0,0,180
20201107,1041,0,0,180
20201108,1387,0,0,180
20201109,1866,0,0,180
20201110,1746,0,0,180
20201111,1860,0,3,180
20201112,1822,0,1,180
20201113,1963,0,2,180
20201114,1390,0,2,180
20201115,1605,0,1,180
20201116,1784,1,2,180
20201117,1684,0,3,180
20201118,1703,0,2,180
20201119,1899,0,0,180
20201120,2135,0,0,180
20201121,1649,0,6,180
20201122,1410,0,4,180
20201123,2034,0,3,180
20201124,2175,0,4,180
20201125,1912,0,4,180
20201126,1930,0,2,180
20201127,2101,0,2,180
20201128,1592,0,1,180
20201129,1890,0,2,180
20201130,1871,0,3,180
20201201,1818,0,4,180
20201202,1841,0,0,180
20201203,1556,0,3,180
20201204,1815,0,2,180
20201205,1332,0,1,180
20201206,1418,0,3,180
20201207,2152,0,3,180
20201208,1614,0,3,180
20201209,1800,0,1,180
20201210,1709,0,2,180
20201211,1700,0,6,180
20201212,1395,0,2,180
20201213,1349,0,3,180
20201214,1727,0,2,180
20201215,1506,0,3,180
20201216,1676,0,1,180
20201217,1791,0,3,180
20201218,1760,0,1,180
20201219,1387,0,5,180
20201220,1263,0,2,180
20201221,1700,0,2,180
20201222,1758,0,7,180
20201223,1749,0,5,180
20201224,1902,0,1,180
20201225,1699,0,1,180
20201226,1557,0,1,180
20201227,1983,0,0,180
20201228,1700,0,8,180
20201229,1758,0,6,180
20201230,1749,0,1,180
20201231,1902,0,2,180
20210101,1699,0,2,180
20210102,1557,0,0,180
20210103,1983,0,0,180
20210104,2111,0,7,180
20210105,2394,0,6,180
20210106,2566,0,1,180
20210107,2659,0,14,180
20210108,2579,0,5,180
20210109,2233,0,3,180
20210110,1800,0,6,180
20210111,2295,0,3,180
20210112,2589,0,3,180
20210113,2372,0,2,180
20210114,2547,0,17,180
20210115,2577,0,12,180
20210116,2111,0,7,180
20210117,2072,0,3,180
20210118,2467,0,7,180
20210119,2573,0,2,180
20210120,2157,0,1,180
20210121,1800,0,4,180
20210122,2162,0,8,180
20210123,1916,0,4,180
20210124,1622,0,4,180
20210125,2159,0,5,180
20210126,2129,0,2,180
20210127,2019,0,5,180
20210128,1786,0,6,180
20210129,1644,0,4,180
20210130,1375,0,2,180
20210131,1427,0,1,180
20210201,1737,0,7,180
20210202,1915,0,5,180
20210203,1766,0,5,180
20210204,1790,0,2,180
20210205,1604,0,1,180
20210206,1707,0,0,180
20210207,1328,0,3,180
20210208,1784,0,2,180
20210209,1756,0,7,180
20210210,1477,0,1,180
20210211,1457,0,0,180
20210212,1588,0,2,180
20210213,1236,0,3,180
20210214,1014,0,0,180
20210215,1780,0,1,180
20210216,1452,0,5,180
20210217,1560,0,1,180
20210218,1661,0,0,180
20210219,1580,0,3,180
20210220,1053,0,0,180
20210221,1409,0,1,180
20210222,1335,0,1,180
20210223,983,0,0,180
20210224,1536,0,1,180
20210225,1420,0,4,180
20210226,1196,0,0,180
20210227,1224,0,2,180
20210228,1091,0,0,180
20210301,1245,0,7,180
20210302,1081,0,5,180
20210303,1526,0,0,180
20210304,1250,0,3,180
20210305,1450,0,1,180
20210306,1186,0,9,180
20210307,1291,0,0,180
20210308,1635,0,3,180
20210309,1459,0,5,180
20210310,1193,0,1,180
20210311,1369,0,6,180
20210312,1470,0,0,180
20210313,1436,0,0,180
20210314,1347,0,1,180
20210315,1785,0,0,180
20210316,1630,0,3,180
20210317,1709,0,5,180
20210318,1532,0,0,180
20210319,1563,0,2,180
20210320,1229,0,0,180
20210321,1222,0,0,180
20210322,1645,0,4,180
20210323,1585,0,1,180
20210324,1318,0,2,180
20210325,1594,0,1,180
20210326,1421,0,0,180
20210327,1188,0,0,180
20210328,1159,0,0,180
20210329,1509,0,3,180
20210330,1877,0,0,180
20210331,1697,0,3,180
20210401,1653,0,3,180
20210402,1617,0,3,180
20210403,1184,0,1,180
20210404,1223,0,1,180
20210405,1669,0,3,180
20210406,1529,0,8,180
20210407,1517,0,4,180
20210408,1706,0,7,180
20210409,1849,0,8,180
20210410,1207,0,1,180
20210411,1317,0,2,180
20210412,1674,0,4,180
20210413,1715,0,8,180
20210414,1836,0,6,180
20210415,1780,0,8,180
20210416,1874,0,11,180
20210417,1711,0,2,180
20210418,1285,0,2,180
20210419,1920,0,11,180
20210420,1768,0,7,180
20210421,2010,0,11,180
20210422,1988,0,15,180
20210423,2132,0,13,180
20210424,1805,0,5,180
20210425,1626,0,4,180
